OBS_STATUS;PUNTOS_TURISTICOS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;70667;516717;2016;VIAJEROS;385.03035714;A
A;70667;516717;2015;VIAJEROS;290.59583333;A
A;70667;516717;2014;VIAJEROS;696.14583333;A
A;70667;516718;2020;VIAJEROS;264.146021303;A
A;70667;516718;2019;VIAJEROS;563.024691358;A
A;70667;516718;2018;VIAJEROS;547.31666667;A
A;70667;516718;2017;VIAJEROS;472.91666667;A
A;70667;516718;2016;VIAJEROS;242.4375;A
A;70667;516718;2015;VIAJEROS;145.94583333;A
A;70667;516718;2014;VIAJEROS;97.533333333;A
A;70667;516719;2019;VIAJEROS;18.202469136;A
A;70667;516719;2018;VIAJEROS;52.9375;A
A;70667;516719;2017;VIAJEROS;28.025;A
A;70667;516719;2016;VIAJEROS;84.475;A
A;70667;516719;2015;VIAJEROS;14.266666667;A
A;70667;516719;2014;VIAJEROS;123.775;A
A;70667;516720;2020;VIAJEROS;47.766117881;A
A;70667;516720;2019;VIAJEROS;207.217746914;A
A;70667;516720;2018;VIAJEROS;84.920833333;A
A;70667;516720;2017;VIAJEROS;63.266666667;A
A;70667;516720;2016;VIAJEROS;114.69166667;A
A;70667;516720;2015;VIAJEROS;94.218320722;A
A;70667;516720;2014;VIAJEROS;28.333333333;A
A;70667;516721;2020;VIAJEROS;12.18245614;A
A;70667;516721;2019;VIAJEROS;42.627160494;A
A;70667;516721;2018;VIAJEROS;31.5;A
A;70667;516721;2017;VIAJEROS;67.529166667;A
A;70667;516721;2016;VIAJEROS;35.521428571;A
A;70667;516721;2015;VIAJEROS;10.0;A
A;70667;516721;2014;VIAJEROS;252.0;A
A;70667;516722;2020;VIAJEROS;96.75;A
A;70667;516722;2019;VIAJEROS;473.268981481;A
A;70667;516722;2018;VIAJEROS;220.09166667;A
A;70667;516722;2017;VIAJEROS;163.19583333;A
A;70667;516722;2016;VIAJEROS;323.83690476;A
A;70667;516722;2015;VIAJEROS;140.38932383;A
A;70667;516722;2014;VIAJEROS;400.73333333;A
A;70667;516724;2020;VIAJEROS;36.675218218;A
A;70667;516724;2019;VIAJEROS;128.565277778;A
A;70667;516724;2018;VIAJEROS;27.079166667;A
A;70667;516724;2017;VIAJEROS;59.216666667;A
A;70667;516724;2016;VIAJEROS;50.933333333;A
A;70667;516724;2015;VIAJEROS;50.8;A
A;70667;516724;2014;VIAJEROS;26.866666667;A
A;70667;516725;2020;VIAJEROS;165.137143505;A
A;70667;516725;2019;VIAJEROS;216.893981481;A
A;70667;516725;2018;VIAJEROS;231.92083333;A
A;70667;516725;2017;VIAJEROS;228.64583333;A
A;70667;516725;2016;VIAJEROS;100.9625;A
A;70667;516725;2015;VIAJEROS;107.55;A
A;70667;516725;2014;VIAJEROS;57.079166667;A
A;70667;516726;2020;VIAJEROS;205.207088745;A
A;70667;516726;2019;VIAJEROS;858.59845679;A
A;70667;516726;2018;VIAJEROS;351.6125;A
A;70667;516726;2017;VIAJEROS;276.42916667;A
A;70667;516726;2016;VIAJEROS;137.85;A
A;70667;516726;2015;VIAJEROS;62.15;A
A;70667;516726;2014;VIAJEROS;27.75;A
A;70667;516727;2020;VIAJEROS;80.322180451;A
A;70667;516727;2019;VIAJEROS;185.069753086;A
A;70667;516727;2018;VIAJEROS;365.75833333;A
A;70667;516727;2017;VIAJEROS;334.95416667;A
A;70667;516727;2016;VIAJEROS;116.7077381;A
A;70667;516727;2015;VIAJEROS;111.6;A
A;70667;516727;2014;VIAJEROS;80.0;A
A;269774;55698;2020;VIAJEROS;18659.575259533;A
A;269774;55698;2019;VIAJEROS;41206.040618585;A
A;269774;55698;2018;VIAJEROS;46682.772999303;A
A;269774;55698;2017;VIAJEROS;47604.272662068;A
A;269774;55698;2016;VIAJEROS;22173.542379127;A
A;269774;55698;2015;VIAJEROS;26009.608318303;A
A;269774;55698;2014;VIAJEROS;14043.527500028;A
A;269774;55565;2020;VIAJEROS;17500.484837964;A
A;269774;55565;2019;VIAJEROS;35869.881555366;A
A;269774;55565;2018;VIAJEROS;41130.005255636;A
A;269774;55565;2017;VIAJEROS;40642.995629782;A
A;269774;55565;2016;VIAJEROS;18018.039351963;A
A;269774;55565;2015;VIAJEROS;22523.592855877;A
A;269774;55565;2014;VIAJEROS;11406.475833364;A
A;269774;55697;2020;VIAJEROS;1159.090421569;A
A;269774;55697;2019;VIAJEROS;5336.159063219;A
A;269774;55697;2018;VIAJEROS;5552.767743667;A
A;269774;55697;2017;VIAJEROS;6961.277032286;A
A;269774;55697;2016;VIAJEROS;4155.503027164;A
A;269774;55697;2015;VIAJEROS;3486.015462426;A
A;269774;55697;2014;VIAJEROS;2637.051666664;A
A;269774;55577;2020;VIAJEROS;223.603521118;A
A;269774;55577;2019;VIAJEROS;481.740243653;A
A;269774;55577;2018;VIAJEROS;416.88719382;A
A;269774;55577;2017;VIAJEROS;631.60959076;A
A;269774;55577;2016;VIAJEROS;226.16348267;A
A;269774;55577;2015;VIAJEROS;145.64061999;A
A;269774;55577;2014;VIAJEROS;151.20416667;A
