OBS_STATUS;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES612;55543;2015;VIAJEROS;44806.996105;A
A;ES612;55543;2016;VIAJEROS;52623.718046;A
A;ES612;55543;2017;VIAJEROS;62849.807305;A
A;ES612;55543;2018;VIAJEROS;63847.148906;A
A;ES612;55543;2019;VIAJEROS;72212.521858133;A
A;ES612;55543;2020;VIAJEROS;48496.784372383;A
A;ES612;55563;2014;VIAJEROS;36587.09309573;A
A;ES612;55563;2015;VIAJEROS;36303.47428409;A
A;ES612;55563;2016;VIAJEROS;37267.171582882;A
A;ES612;55563;2017;VIAJEROS;37995.67440029;A
A;ES612;55563;2018;VIAJEROS;46621.367412538;A
A;ES612;55563;2019;VIAJEROS;48527.454611207;A
A;ES612;55563;2020;VIAJEROS;26460.990823342;A
A;ES612;55545;2014;VIAJEROS;868.97080683;A
A;ES612;55545;2015;VIAJEROS;1269.0770631;A
A;ES612;55545;2016;VIAJEROS;1042.6664774;A
A;ES612;55545;2017;VIAJEROS;1179.7432339;A
A;ES612;55545;2018;VIAJEROS;1061.6140749;A
A;ES612;55545;2019;VIAJEROS;1153.148826299;A
A;ES612;55545;2020;VIAJEROS;438.898988555;A
A;ES612;55546;2014;VIAJEROS;318.28532743;A
A;ES612;55546;2015;VIAJEROS;586.30667939;A
A;ES612;55546;2016;VIAJEROS;320.03434202;A
A;ES612;55546;2017;VIAJEROS;217.28435032;A
A;ES612;55546;2018;VIAJEROS;462.31260518;A
A;ES612;55546;2019;VIAJEROS;491.630048527;A
A;ES612;55546;2020;VIAJEROS;839.044134809;A
A;ES612;55547;2014;VIAJEROS;523.74364724;A
A;ES612;55547;2015;VIAJEROS;898.02150742;A
A;ES612;55547;2016;VIAJEROS;696.83247296;A
A;ES612;55547;2017;VIAJEROS;578.44420106;A
A;ES612;55547;2018;VIAJEROS;1418.5210848;A
A;ES612;55547;2019;VIAJEROS;761.182432366;A
A;ES612;55547;2020;VIAJEROS;312.357460693;A
A;ES612;55548;2014;VIAJEROS;910.60083718;A
A;ES612;55548;2015;VIAJEROS;529.45610327;A
A;ES612;55548;2016;VIAJEROS;686.45200783;A
A;ES612;55548;2017;VIAJEROS;506.97600253;A
A;ES612;55548;2018;VIAJEROS;692.4008472;A
A;ES612;55548;2019;VIAJEROS;574.023714846;A
A;ES612;55548;2020;VIAJEROS;400.454161666;A
A;ES612;55549;2014;VIAJEROS;3106.7023373;A
A;ES612;55549;2015;VIAJEROS;2309.1517881;A
A;ES612;55549;2016;VIAJEROS;2648.7098035;A
A;ES612;55549;2017;VIAJEROS;2510.0189712;A
A;ES612;55549;2018;VIAJEROS;3466.9538136;A
A;ES612;55549;2019;VIAJEROS;3164.495784614;A
A;ES612;55549;2020;VIAJEROS;1436.165766771;A
A;ES612;55550;2014;VIAJEROS;1934.4413394;A
A;ES612;55550;2015;VIAJEROS;1711.0351293;A
A;ES612;55550;2016;VIAJEROS;2165.8600752;A
A;ES612;55550;2017;VIAJEROS;2277.608848;A
A;ES612;55550;2018;VIAJEROS;2427.043899;A
A;ES612;55550;2019;VIAJEROS;2625.713366445;A
A;ES612;55550;2020;VIAJEROS;1742.779912068;A
A;ES612;55551;2014;VIAJEROS;1970.1228266;A
A;ES612;55551;2015;VIAJEROS;4052.2264495;A
A;ES612;55551;2016;VIAJEROS;3681.5884493;A
A;ES612;55551;2017;VIAJEROS;3039.4048938;A
A;ES612;55551;2018;VIAJEROS;4724.6360089;A
A;ES612;55551;2019;VIAJEROS;4757.685138227;A
A;ES612;55551;2020;VIAJEROS;2519.842265099;A
A;ES612;55552;2014;VIAJEROS;1744.7644658;A
A;ES612;55552;2015;VIAJEROS;1875.2783915;A
A;ES612;55552;2016;VIAJEROS;1727.6650508;A
A;ES612;55552;2017;VIAJEROS;1856.5995252;A
A;ES612;55552;2018;VIAJEROS;2408.2446092;A
A;ES612;55552;2019;VIAJEROS;2431.04989887;A
A;ES612;55552;2020;VIAJEROS;1166.591438796;A
A;ES612;55553;2014;VIAJEROS;3724.9441697;A
A;ES612;55553;2015;VIAJEROS;4424.7872045;A
A;ES612;55553;2016;VIAJEROS;4466.5672031;A
A;ES612;55553;2017;VIAJEROS;4333.9829091;A
A;ES612;55553;2018;VIAJEROS;5165.6023013;A
A;ES612;55553;2019;VIAJEROS;5015.031981707;A
A;ES612;55553;2020;VIAJEROS;2620.642834845;A
A;ES612;55554;2014;VIAJEROS;1178.8415263;A
A;ES612;55554;2015;VIAJEROS;1206.157612;A
A;ES612;55554;2016;VIAJEROS;1085.7232468;A
A;ES612;55554;2017;VIAJEROS;1305.8922234;A
A;ES612;55554;2018;VIAJEROS;1221.1387604;A
A;ES612;55554;2019;VIAJEROS;1420.689733956;A
A;ES612;55554;2020;VIAJEROS;645.875365458;A
A;ES612;55555;2014;VIAJEROS;15409.902333;A
A;ES612;55555;2015;VIAJEROS;12285.595825;A
A;ES612;55555;2016;VIAJEROS;12744.919821;A
A;ES612;55555;2017;VIAJEROS;14249.766613;A
A;ES612;55555;2018;VIAJEROS;16866.817365;A
A;ES612;55555;2019;VIAJEROS;18669.008337942;A
A;ES612;55555;2020;VIAJEROS;10185.95662728;A
A;ES612;55556;2014;VIAJEROS;651.87705026;A
A;ES612;55556;2015;VIAJEROS;857.38988062;A
A;ES612;55556;2016;VIAJEROS;1182.0076158;A
A;ES612;55556;2017;VIAJEROS;874.40306503;A
A;ES612;55556;2018;VIAJEROS;923.31361572;A
A;ES612;55556;2019;VIAJEROS;1295.453289278;A
A;ES612;55556;2020;VIAJEROS;571.10956173;A
A;ES612;55557;2014;VIAJEROS;408.88386452;A
A;ES612;55557;2015;VIAJEROS;453.32654341;A
A;ES612;55557;2016;VIAJEROS;368.0874594;A
A;ES612;55557;2017;VIAJEROS;581.44579113;A
