D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;7958;38282;3143;38435;% de empresas que utilizan robots de servicio (a);99.36972382419867;A
2018;7888;38282;3143;38435;% de empresas que utilizan robots de servicio (a);74.35010771140608;A
2018;8094;38282;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2018;8165;38282;3143;38435;% de empresas que utilizan robots de servicio (a);42.842610087939484;A
2018;8255;38282;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;6949;38282;3143;38435;% de empresas que utilizan robots de servicio (a);49.06696204469124;A
2020;7058;38282;3143;38435;% de empresas que utilizan robots de servicio (a);27.317152451547756;A
2020;7605;38282;3143;38435;% de empresas que utilizan robots de servicio (a);28.009570823844594;A
2020;838683;38282;3143;38435;% de empresas que utilizan robots de servicio (a);18.02455355904907;A
2020;838684;38282;3143;38435;% de empresas que utilizan robots de servicio (a);18.797303570959446;A
2020;838685;38282;3143;38435;% de empresas que utilizan robots de servicio (a);22.7088860673441;A
2020;7627;38282;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;7663;38282;3143;38435;% de empresas que utilizan robots de servicio (a);86.11008436207445;A
2020;7716;38282;3143;38435;% de empresas que utilizan robots de servicio (a);63.33020628076183;A
2020;7859;38282;3143;38435;% de empresas que utilizan robots de servicio (a);35.29636664166783;A
2020;7958;38282;3143;38435;% de empresas que utilizan robots de servicio (a);75.29386622271724;A
2020;7888;38282;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;8031;38282;3143;38435;% de empresas que utilizan robots de servicio (a);;A
2020;8094;38282;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;8165;38282;3143;38435;% de empresas que utilizan robots de servicio (a);80.69132982573389;A
2020;8255;38282;3143;38435;% de empresas que utilizan robots de servicio (a);99.04666483506149;A
2018;6949;24142;3143;38435;% de empresas que utilizan robots de servicio (a);54.17717950180281;A
2018;7058;24142;3143;38435;% de empresas que utilizan robots de servicio (a);34.04599515030336;A
2018;7605;24142;3143;38435;% de empresas que utilizan robots de servicio (a);70.14457177575201;A
2018;838683;24142;3143;38435;% de empresas que utilizan robots de servicio (a);29.62017516292396;A
2018;838684;24142;3143;38435;% de empresas que utilizan robots de servicio (a);;A
2018;838685;24142;3143;38435;% de empresas que utilizan robots de servicio (a);24.92512116349525;A
2018;7627;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2018;7663;24142;3143;38435;% de empresas que utilizan robots de servicio (a);33.33615835141834;A
2018;7716;24142;3143;38435;% de empresas que utilizan robots de servicio (a);85.36500882254549;A
2018;7859;24142;3143;38435;% de empresas que utilizan robots de servicio (a);71.0593549696774;A
2018;7958;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2018;7888;24142;3143;38435;% de empresas que utilizan robots de servicio (a);74.35010771140608;A
2018;8094;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2018;8165;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2018;8255;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;6949;24142;3143;38435;% de empresas que utilizan robots de servicio (a);53.72393841271423;A
2020;7058;24142;3143;38435;% de empresas que utilizan robots de servicio (a);30.064128578859773;A
2020;7605;24142;3143;38435;% de empresas que utilizan robots de servicio (a);26.752183058910983;A
2020;838683;24142;3143;38435;% de empresas que utilizan robots de servicio (a);;A
2020;838684;24142;3143;38435;% de empresas que utilizan robots de servicio (a);19.108235481579573;A
2020;838685;24142;3143;38435;% de empresas que utilizan robots de servicio (a);58.52292612992008;A
2020;7627;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;7663;24142;3143;38435;% de empresas que utilizan robots de servicio (a);85.93117600972893;A
2020;7716;24142;3143;38435;% de empresas que utilizan robots de servicio (a);66.44052011015252;A
2020;7859;24142;3143;38435;% de empresas que utilizan robots de servicio (a);29.60340604704479;A
2020;7958;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;7888;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;8031;24142;3143;38435;% de empresas que utilizan robots de servicio (a);;A
2020;8094;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;8165;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2020;8255;24142;3143;38435;% de empresas que utilizan robots de servicio (a);100.0;A
2018;6949;24097;3143;38435;% de empresas que utilizan robots de servicio (a);32.56001645740446;A
2018;7058;24097;3143;38435;% de empresas que utilizan robots de servicio (a);19.43721429033742;A
2018;7605;24097;3143;38435;% de empresas que utilizan robots de servicio (a);8.13957567552756;A
2018;838683;24097;3143;38435;% de empresas que utilizan robots de servicio (a);32.381438040953356;A
2018;838684;24097;3143;38435;% de empresas que utilizan robots de servicio (a);13.415233424198878;A
2018;838685;24097;3143;38435;% de empresas que utilizan robots de servicio (a);16.3067430704195;A
2018;7627;24097;3143;38435;% de empresas que utilizan robots de servicio (a);62.49999998535157;A
2018;7663;24097;3143;38435;% de empresas que utilizan robots de servicio (a);;A
2018;7716;24097;3143;38435;% de empresas que utilizan robots de servicio (a);62.357667967709986;A
