REF_AREA;TIME_PERIOD;CNAE_09_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ;MACROECO
ES61;2001;273240;A;CON_INTER_PREC_ADQ;131557.0;A;_Z
ES61;2001;273241;A;CON_INTER_PREC_ADQ;257352.0;A;_Z
ES61;2001;273259;A;CON_INTER_PREC_ADQ;2156069.0;A;_Z
ES61;2001;273162;A;CON_INTER_PREC_ADQ;1309782.0;A;_Z
ES61;2001;273242;A;CON_INTER_PREC_ADQ;728594.0;A;_Z
ES61;2001;273243;A;CON_INTER_PREC_ADQ;581188.0;A;_Z
ES61;2001;273163;A;CON_INTER_PREC_ADQ;846287.0;A;_Z
ES61;2001;273244;A;CON_INTER_PREC_ADQ;272877.0;A;_Z
ES61;2001;273245;A;CON_INTER_PREC_ADQ;70341.0;A;_Z
ES61;2001;273246;A;CON_INTER_PREC_ADQ;503069.0;A;_Z
ES61;2001;273164;A;CON_INTER_PREC_ADQ;0.0;A;_Z
ES61;2001;273247;A;CON_INTER_PREC_ADQ;0.0;A;_Z
ES61;2001;273260;A;CON_INTER_PREC_ADQ;87162807;A;_Z
ES61;2001;273261;A;CON_INTER_PREC_ADQ;;A;_Z
ES61;2001;273252;A;CON_INTER_PREC_ADQ;;A;_Z
ES61;2001;273258;A;CON_INTER_PREC_ADQ;;A;_Z
ES61;2002;273165;A;CON_INTER_PREC_ADQ;3783806.0;A;_Z
ES61;2002;273129;A;CON_INTER_PREC_ADQ;3783806.0;A;_Z
ES61;2002;273167;A;CON_INTER_PREC_ADQ;3483559.0;A;_Z
ES61;2002;273168;A;CON_INTER_PREC_ADQ;99763.0;A;_Z
ES61;2002;273169;A;CON_INTER_PREC_ADQ;200484.0;A;_Z
ES61;2002;273166;A;CON_INTER_PREC_ADQ;33068237;A;_Z
ES61;2002;273248;A;CON_INTER_PREC_ADQ;29806555;A;_Z
ES61;2002;273130;A;CON_INTER_PREC_ADQ;541808.0;A;_Z
ES61;2002;273170;A;CON_INTER_PREC_ADQ;541808.0;A;_Z
ES61;2002;273131;A;CON_INTER_PREC_ADQ;9538557.0;A;_Z
ES61;2002;273171;A;CON_INTER_PREC_ADQ;1508688.0;A;_Z
ES61;2002;273172;A;CON_INTER_PREC_ADQ;191421.0;A;_Z
ES61;2002;273173;A;CON_INTER_PREC_ADQ;809944.0;A;_Z
ES61;2002;273174;A;CON_INTER_PREC_ADQ;2777832.0;A;_Z
ES61;2002;273175;A;CON_INTER_PREC_ADQ;553418.0;A;_Z
ES61;2002;273176;A;CON_INTER_PREC_ADQ;1082209.0;A;_Z
ES61;2002;273177;A;CON_INTER_PREC_ADQ;1057290.0;A;_Z
ES61;2002;273178;A;CON_INTER_PREC_ADQ;1557755.0;A;_Z
ES61;2002;273132;A;CON_INTER_PREC_ADQ;842050.0;A;_Z
ES61;2002;273179;A;CON_INTER_PREC_ADQ;842050.0;A;_Z
ES61;2002;273133;A;CON_INTER_PREC_ADQ;1293038.0;A;_Z
ES61;2002;273180;A;CON_INTER_PREC_ADQ;514797.0;A;_Z
ES61;2002;273181;A;CON_INTER_PREC_ADQ;483159.0;A;_Z
ES61;2002;273182;A;CON_INTER_PREC_ADQ;295082.0;A;_Z
ES61;2002;273134;A;CON_INTER_PREC_ADQ;6641265.0;A;_Z
ES61;2002;273183;A;CON_INTER_PREC_ADQ;6265931.0;A;_Z
ES61;2002;273184;A;CON_INTER_PREC_ADQ;375334.0;A;_Z
ES61;2002;273135;A;CON_INTER_PREC_ADQ;184851.0;A;_Z
ES61;2002;273185;A;CON_INTER_PREC_ADQ;184851.0;A;_Z
ES61;2002;273136;A;CON_INTER_PREC_ADQ;2877002.0;A;_Z
ES61;2002;273186;A;CON_INTER_PREC_ADQ;529084.0;A;_Z
ES61;2002;273189;A;CON_INTER_PREC_ADQ;1682380.0;A;_Z
ES61;2002;273188;A;CON_INTER_PREC_ADQ;194003.0;A;_Z
ES61;2002;273187;A;CON_INTER_PREC_ADQ;471535.0;A;_Z
ES61;2002;273137;A;CON_INTER_PREC_ADQ;3310418.0;A;_Z
ES61;2002;273190;A;CON_INTER_PREC_ADQ;1918753.0;A;_Z
ES61;2002;273191;A;CON_INTER_PREC_ADQ;1391665.0;A;_Z
ES61;2002;273138;A;CON_INTER_PREC_ADQ;462851.0;A;_Z
ES61;2002;273192;A;CON_INTER_PREC_ADQ;462851.0;A;_Z
ES61;2002;273139;A;CON_INTER_PREC_ADQ;314595.0;A;_Z
ES61;2002;273193;A;CON_INTER_PREC_ADQ;314595.0;A;_Z
ES61;2002;273140;A;CON_INTER_PREC_ADQ;445280.0;A;_Z
ES61;2002;273194;A;CON_INTER_PREC_ADQ;445280.0;A;_Z
ES61;2002;273141;A;CON_INTER_PREC_ADQ;1789492.0;A;_Z
ES61;2002;273195;A;CON_INTER_PREC_ADQ;732047.0;A;_Z
ES61;2002;273196;A;CON_INTER_PREC_ADQ;749399.0;A;_Z
ES61;2002;273197;A;CON_INTER_PREC_ADQ;308046.0;A;_Z
ES61;2002;273142;A;CON_INTER_PREC_ADQ;2107156.0;A;_Z
ES61;2002;273198;A;CON_INTER_PREC_ADQ;878709.0;A;_Z
ES61;2002;273199;A;CON_INTER_PREC_ADQ;465649.0;A;_Z
ES61;2002;273200;A;CON_INTER_PREC_ADQ;762798.0;A;_Z
ES61;2002;273143;A;CON_INTER_PREC_ADQ;1841699.0;A;_Z
ES61;2002;273201;A;CON_INTER_PREC_ADQ;1119998.0;A;_Z
ES61;2002;273202;A;CON_INTER_PREC_ADQ;721701.0;A;_Z
ES61;2002;273144;A;CON_INTER_PREC_ADQ;878175.0;A;_Z
ES61;2002;273203;A;CON_INTER_PREC_ADQ;392112.0;A;_Z
ES61;2002;273204;A;CON_INTER_PREC_ADQ;486063.0;A;_Z
ES61;2002;273249;A;CON_INTER_PREC_ADQ;19192883;A;_Z
ES61;2002;273145;A;CON_INTER_PREC_ADQ;19192883;A;_Z
ES61;2002;273205;A;CON_INTER_PREC_ADQ;19192883;A;_Z
ES61;2002;273251;A;CON_INTER_PREC_ADQ;36506369;A;_Z
ES61;2002;273250;A;CON_INTER_PREC_ADQ;18475661;A;_Z
ES61;2002;273146;A;CON_INTER_PREC_ADQ;8045111.0;A;_Z
ES61;2002;273206;A;CON_INTER_PREC_ADQ;1646170.0;A;_Z
ES61;2002;273207;A;CON_INTER_PREC_ADQ;3188534.0;A;_Z
ES61;2002;273208;A;CON_INTER_PREC_ADQ;3210407.0;A;_Z
ES61;2002;273147;A;CON_INTER_PREC_ADQ;4742424.0;A;_Z
ES61;2002;273209;A;CON_INTER_PREC_ADQ;2976486.0;A;_Z
ES61;2002;273210;A;CON_INTER_PREC_ADQ;227199.0;A;_Z
ES61;2002;273211;A;CON_INTER_PREC_ADQ;1358177.0;A;_Z
ES61;2002;273212;A;CON_INTER_PREC_ADQ;180562.0;A;_Z
ES61;2002;273148;A;CON_INTER_PREC_ADQ;5688126.0;A;_Z
ES61;2002;273213;A;CON_INTER_PREC_ADQ;859845.0;A;_Z
ES61;2002;273214;A;CON_INTER_PREC_ADQ;4828281.0;A;_Z
ES61;2002;273253;A;CON_INTER_PREC_ADQ;2011002.0;A;_Z
ES61;2002;273149;A;CON_INTER_PREC_ADQ;717878.0;A;_Z
ES61;2002;273215;A;CON_INTER_PREC_ADQ;265087.0;A;_Z
ES61;2002;273216;A;CON_INTER_PREC_ADQ;452791.0;A;_Z
ES61;2002;273150;A;CON_INTER_PREC_ADQ;1072031.0;A;_Z
ES61;2002;273217;A;CON_INTER_PREC_ADQ;1072031.0;A;_Z
