D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;2862;Nacimientos;8.0;A
2020;3690;2863;Nacimientos;15.0;A
2020;3690;2864;Nacimientos;3.0;A
2020;3690;2865;Nacimientos;4.0;A
2020;3690;2866;Nacimientos;23.0;A
2020;3690;2867;Nacimientos;11.0;A
2020;3690;2869;Nacimientos;17.0;A
2020;3690;2870;Nacimientos;15.0;A
2020;3690;2871;Nacimientos;4.0;A
2020;3690;2872;Nacimientos;11.0;A
2020;3690;2873;Nacimientos;17.0;A
2020;3690;2874;Nacimientos;6.0;A
2020;3690;2875;Nacimientos;13.0;A
2020;3690;2876;Nacimientos;2.0;A
2020;3690;2877;Nacimientos;3.0;A
2020;3690;2906;Nacimientos;8.0;A
2020;3690;2879;Nacimientos;15.0;A
2020;3690;2880;Nacimientos;8.0;A
2020;3690;2881;Nacimientos;6.0;A
2020;3690;2882;Nacimientos;4.0;A
2020;3690;2884;Nacimientos;2.0;A
2020;3690;2885;Nacimientos;9.0;A
2020;3690;2887;Nacimientos;52.0;A
2020;3690;2888;Nacimientos;49.0;A
2020;3690;2889;Nacimientos;24.0;A
2020;3690;2891;Nacimientos;6.0;A
2020;3690;2892;Nacimientos;2.0;A
2020;3690;2893;Nacimientos;109.0;A
2020;3690;2894;Nacimientos;8.0;A
2020;3690;2895;Nacimientos;11.0;A
2020;3690;2896;Nacimientos;28.0;A
2020;3690;2897;Nacimientos;13.0;A
2020;3690;2898;Nacimientos;28.0;A
2020;3690;2899;Nacimientos;3.0;A
2020;3690;2900;Nacimientos;27.0;A
2020;3690;2902;Nacimientos;1.0;A
2020;3690;2905;Nacimientos;14.0;A
2020;3690;3023;Nacimientos;6147.0;A
2020;3690;2912;Nacimientos;16.0;A
2020;3690;2913;Nacimientos;11.0;A
2020;3690;2914;Nacimientos;1.0;A
2020;3690;2915;Nacimientos;1.0;A
2020;3690;2916;Nacimientos;19.0;A
2020;3690;2917;Nacimientos;2.0;A
2020;3690;2918;Nacimientos;132.0;A
2020;3690;2919;Nacimientos;96.0;A
2020;3690;2920;Nacimientos;10.0;A
2020;3690;2921;Nacimientos;3.0;A
2020;3690;2922;Nacimientos;10.0;A
2020;3690;2923;Nacimientos;59.0;A
2020;3690;2924;Nacimientos;10.0;A
2020;3690;2925;Nacimientos;;A
2020;3690;2926;Nacimientos;159.0;A
2020;3690;2927;Nacimientos;1.0;A
2020;3690;2928;Nacimientos;22.0;A
2020;3690;2929;Nacimientos;4.0;A
2020;3690;2930;Nacimientos;3.0;A
2020;3690;2931;Nacimientos;10.0;A
2020;3690;2932;Nacimientos;;A
2020;3690;2933;Nacimientos;1.0;A
2020;3690;2934;Nacimientos;27.0;A
2020;3690;2935;Nacimientos;;A
2020;3690;2936;Nacimientos;242.0;A
2020;3690;2937;Nacimientos;3.0;A
2020;3690;2938;Nacimientos;6.0;A
2020;3690;2939;Nacimientos;7.0;A
2020;3690;2940;Nacimientos;;A
2020;3690;2941;Nacimientos;2.0;A
2020;3690;2942;Nacimientos;1.0;A
2020;3690;2943;Nacimientos;20.0;A
2020;3690;2944;Nacimientos;4.0;A
2020;3690;2945;Nacimientos;1.0;A
2020;3690;2946;Nacimientos;9.0;A
2020;3690;2947;Nacimientos;3.0;A
2020;3690;2948;Nacimientos;1.0;A
2020;3690;2949;Nacimientos;125.0;A
2020;3690;2950;Nacimientos;14.0;A
2020;3690;2951;Nacimientos;9.0;A
2020;3690;2952;Nacimientos;28.0;A
2020;3690;2953;Nacimientos;109.0;A
2020;3690;2954;Nacimientos;5.0;A
2020;3690;2955;Nacimientos;5.0;A
2020;3690;2956;Nacimientos;11.0;A
2020;3690;2957;Nacimientos;9.0;A
2020;3690;2958;Nacimientos;7.0;A
2020;3690;2960;Nacimientos;12.0;A
2020;3690;2959;Nacimientos;4.0;A
2020;3690;2961;Nacimientos;1.0;A
2020;3690;2962;Nacimientos;272.0;A
2020;3690;2963;Nacimientos;;A
2020;3690;2964;Nacimientos;10.0;A
2020;3690;2965;Nacimientos;220.0;A
2020;3690;2966;Nacimientos;13.0;A
2020;3690;2967;Nacimientos;4.0;A
2020;3690;2968;Nacimientos;;A
2020;3690;2969;Nacimientos;10.0;A
