D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2005;2911;70391;Muertes fetales tardías;28.0;A
2005;2911;70394;Muertes fetales tardías;28.0;A
2005;3023;70395;Muertes fetales tardías;130.0;A
2005;3023;70391;Muertes fetales tardías;62.0;A
2005;3023;70394;Muertes fetales tardías;68.0;A
2005;3142;70395;Muertes fetales tardías;204.0;A
2005;3142;70391;Muertes fetales tardías;99.0;A
2005;3142;70394;Muertes fetales tardías;105.0;A
2005;3143;70395;Muertes fetales tardías;685.0;A
2005;3143;70391;Muertes fetales tardías;339.0;A
2005;3143;70394;Muertes fetales tardías;346.0;A
2004;2352;70395;Muertes fetales tardías;44.0;A
2004;2352;70391;Muertes fetales tardías;22.0;A
2004;2352;70394;Muertes fetales tardías;22.0;A
2004;2402;70395;Muertes fetales tardías;109.0;A
2004;2402;70391;Muertes fetales tardías;58.0;A
2004;2402;70394;Muertes fetales tardías;51.0;A
2004;2482;70395;Muertes fetales tardías;50.0;A
2004;2482;70391;Muertes fetales tardías;26.0;A
2004;2482;70394;Muertes fetales tardías;24.0;A
2004;2713;70395;Muertes fetales tardías;66.0;A
2004;2713;70391;Muertes fetales tardías;31.0;A
2004;2713;70394;Muertes fetales tardías;35.0;A
2004;2797;70395;Muertes fetales tardías;11.0;A
2004;2797;70391;Muertes fetales tardías;6.0;A
2004;2797;70394;Muertes fetales tardías;5.0;A
2004;2911;70395;Muertes fetales tardías;41.0;A
2004;2911;70391;Muertes fetales tardías;20.0;A
2004;2911;70394;Muertes fetales tardías;21.0;A
2004;3023;70395;Muertes fetales tardías;124.0;A
2004;3023;70391;Muertes fetales tardías;59.0;A
2004;3023;70394;Muertes fetales tardías;65.0;A
2004;3142;70395;Muertes fetales tardías;217.0;A
2004;3142;70391;Muertes fetales tardías;107.0;A
2004;3142;70394;Muertes fetales tardías;110.0;A
2004;3143;70395;Muertes fetales tardías;662.0;A
2004;3143;70391;Muertes fetales tardías;329.0;A
2004;3143;70394;Muertes fetales tardías;333.0;A
2003;2352;70395;Muertes fetales tardías;23.0;A
2003;2352;70391;Muertes fetales tardías;12.0;A
2003;2352;70394;Muertes fetales tardías;11.0;A
2003;2402;70395;Muertes fetales tardías;132.0;A
2003;2402;70391;Muertes fetales tardías;65.0;A
2003;2402;70394;Muertes fetales tardías;67.0;A
2003;2482;70395;Muertes fetales tardías;69.0;A
2003;2482;70391;Muertes fetales tardías;33.0;A
2003;2482;70394;Muertes fetales tardías;36.0;A
2003;2713;70395;Muertes fetales tardías;82.0;A
2003;2713;70391;Muertes fetales tardías;37.0;A
2003;2713;70394;Muertes fetales tardías;45.0;A
2003;2797;70395;Muertes fetales tardías;5.0;A
2003;2797;70391;Muertes fetales tardías;4.0;A
2003;2797;70394;Muertes fetales tardías;1.0;A
2003;2911;70395;Muertes fetales tardías;52.0;A
2003;2911;70391;Muertes fetales tardías;30.0;A
2003;2911;70394;Muertes fetales tardías;22.0;A
2003;3023;70395;Muertes fetales tardías;123.0;A
2003;3023;70391;Muertes fetales tardías;60.0;A
2003;3023;70394;Muertes fetales tardías;63.0;A
2003;3142;70395;Muertes fetales tardías;193.0;A
2003;3142;70391;Muertes fetales tardías;96.0;A
2003;3142;70394;Muertes fetales tardías;97.0;A
