D_TEMPORAL_0;D_TIPO_PERSONAL_0;D_TIPO_EMPRESA_0;D_DISCIPLINA_0;D_SEXO_0;D_TERRITORIO_0;D_TIPO_ESTAB_0;D_ESTUDIOS_0;INDICATOR;OBS_VALUE;FREQ
2009;215154;215120;215128;3690;3143;213227;215166;Personas;1435.457844305;A
2009;215154;215120;215129;3691;3143;213227;215166;Personas;811.999999999;A
2009;215154;215120;215129;3689;3143;213227;215166;Personas;480.296083923;A
2009;215154;215120;215129;3690;3143;213227;215166;Personas;331.703916076;A
2009;215154;215120;215130;3691;3143;213227;215166;Personas;6303.000000001;A
2009;215154;215120;215130;3689;3143;213227;215166;Personas;3661.077342187;A
2009;215154;215120;215130;3690;3143;213227;215166;Personas;2641.922657814;A
2009;215154;215120;215131;3691;3143;213227;215166;Personas;4596.0;A
2009;215154;215120;215131;3689;3143;213227;215166;Personas;2720.722368667;A
2009;215154;215120;215131;3690;3143;213227;215166;Personas;1875.277631333;A
2009;215154;215122;215132;3691;3143;213227;215166;Personas;64.0;A
2009;215154;215122;215132;3689;3143;213227;215166;Personas;30.0;A
2009;215154;215122;215132;3690;3143;213227;215166;Personas;34.0;A
2009;215154;215122;215126;3691;3143;213227;215166;Personas;;A
2009;215154;215122;215126;3689;3143;213227;215166;Personas;;A
2009;215154;215122;215126;3690;3143;213227;215166;Personas;;A
2009;215154;215122;215127;3691;3143;213227;215166;Personas;;A
2009;215154;215122;215127;3689;3143;213227;215166;Personas;;A
2009;215154;215122;215127;3690;3143;213227;215166;Personas;;A
2009;215154;215122;215128;3691;3143;213227;215166;Personas;;A
