TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2019;ES612;4320;4958;DIV;10.48114;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4320;4965;DIV;4.36028;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4323;4967;DIV;152.35492;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4323;4958;DIV;85.1078;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4323;4965;DIV;67.24712;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;TOTAL;4967;DIV;1369.08113;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;TOTAL;4958;DIV;1289.30587;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;TOTAL;4962;DIV;1.46233;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;TOTAL;4965;DIV;78.31293;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4316;4967;DIV;1273.73287;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4316;4958;DIV;1224.22947;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4316;4965;DIV;49.5034;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4320;4967;DIV;7.16596;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4320;4958;DIV;3.58298;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4320;4962;DIV;1.46233;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
