D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_G102_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;2402;61618;838410;3690;Defunciones;26.0;A
2020;2402;61618;838410;3691;Defunciones;96.0;A
2020;2402;61618;838411;3689;Defunciones;4.0;A
2020;2402;61618;838411;3690;Defunciones;4.0;A
2020;2402;61618;838411;3691;Defunciones;8.0;A
2020;2402;61618;57731;3689;Defunciones;744.0;A
2020;2402;61618;57731;3690;Defunciones;574.0;A
2020;2402;61618;57731;3691;Defunciones;1318.0;A
2020;2402;61618;583;3689;Defunciones;818.0;A
2020;2402;61618;583;3690;Defunciones;604.0;A
2020;2402;61618;583;3691;Defunciones;1422.0;A
2020;2402;61619;838410;3689;Defunciones;64.0;A
2020;2402;61619;838410;3690;Defunciones;52.0;A
