TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;2347;Y30-44;_T;NACI;83.0;A
2020;2347;Y30-44;M;NACI;46.0;A
2020;2347;Y30-44;F;NACI;37.0;A
2020;2347;Y45-64;_T;NACI;5.0;A
2020;2347;Y45-64;M;NACI;1.0;A
2020;2347;Y45-64;F;NACI;4.0;A
2020;2282;TOTAL;_T;NACI;5.0;A
2020;2282;TOTAL;M;NACI;1.0;A
2020;2282;TOTAL;F;NACI;4.0;A
2020;2282;Y25-29;_T;NACI;3.0;A
2020;2282;Y25-29;M;NACI;1.0;A
2020;2282;Y25-29;F;NACI;2.0;A
2020;2282;Y30-34;_T;NACI;1.0;A
2020;2282;Y30-34;F;NACI;1.0;A
2020;2282;Y35-39;_T;NACI;1.0;A
2020;2282;Y35-39;F;NACI;1.0;A
2020;2284;TOTAL;_T;NACI;2.0;A
2020;2284;TOTAL;F;NACI;2.0;A
2020;2284;Y25-29;_T;NACI;1.0;A
2020;2284;Y25-29;F;NACI;1.0;A
2020;2284;Y45-64;_T;NACI;1.0;A
2020;2284;Y45-64;F;NACI;1.0;A
2020;2285;TOTAL;_T;NACI;22.0;A
2020;2285;TOTAL;M;NACI;14.0;A
2020;2285;TOTAL;F;NACI;8.0;A
2020;2285;Y15-29;_T;NACI;1.0;A
2020;2285;Y15-29;F;NACI;1.0;A
2020;2285;Y20-24;_T;NACI;3.0;A
2020;2285;Y20-24;M;NACI;1.0;A
2020;2285;Y20-24;F;NACI;2.0;A
2020;2285;Y25-29;_T;NACI;5.0;A
2020;2285;Y25-29;M;NACI;3.0;A
2020;2285;Y25-29;F;NACI;2.0;A
2020;2285;Y30-34;_T;NACI;6.0;A
2020;2285;Y30-34;M;NACI;3.0;A
2020;2285;Y30-34;F;NACI;3.0;A
2020;2285;Y35-39;_T;NACI;5.0;A
2020;2285;Y35-39;M;NACI;5.0;A
2020;2285;Y30-44;_T;NACI;2.0;A
2020;2285;Y30-44;M;NACI;2.0;A
2020;2286;TOTAL;_T;NACI;14.0;A
2020;2286;TOTAL;M;NACI;7.0;A
2020;2286;TOTAL;F;NACI;7.0;A
2020;2286;Y20-24;_T;NACI;2.0;A
2020;2286;Y20-24;M;NACI;2.0;A
2020;2286;Y25-29;_T;NACI;7.0;A
2020;2286;Y25-29;M;NACI;4.0;A
2020;2286;Y25-29;F;NACI;3.0;A
2020;2286;Y30-34;_T;NACI;2.0;A
2020;2286;Y30-34;F;NACI;2.0;A
2020;2286;Y35-39;_T;NACI;2.0;A
2020;2286;Y35-39;M;NACI;1.0;A
2020;2286;Y35-39;F;NACI;1.0;A
2020;2286;Y30-44;_T;NACI;1.0;A
2020;2286;Y30-44;F;NACI;1.0;A
2020;2287;TOTAL;_T;NACI;3.0;A
2020;2287;TOTAL;M;NACI;2.0;A
2020;2287;TOTAL;F;NACI;1.0;A
2020;2287;Y25-29;_T;NACI;2.0;A
2020;2287;Y25-29;M;NACI;1.0;A
2020;2287;Y25-29;F;NACI;1.0;A
