TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;OBS_STATUS;FREQ
3360;2016;EUR_HAB;1.3831160382023058;;A
3360;2017;EUR_HAB;1.4642652646921035;;A
3360;2018;EUR_HAB;1.6921615078228727;;A
3360;2019;EUR_HAB;2.535038816235086;;A
3360;2020;EUR_HAB;3.7809615685456537;;A
3361;2004;EUR_HAB;1.571934108490161;;A
3361;2005;EUR_HAB;1.792769891367475;;A
3361;2006;EUR_HAB;1.6887942750159186;;A
3361;2007;EUR_HAB;2.2953618514654273;;A
3361;2008;EUR_HAB;2.6311303063022105;;A
3361;2009;EUR_HAB;3.163263375030753;;A
3361;2010;EUR_HAB;2.970746517104728;;A
3361;2011;EUR_HAB;2.474047131923922;;A
3361;2012;EUR_HAB;0.9443831551717579;;A
3361;2013;EUR_HAB;1.6371338682068985;;A
3361;2014;EUR_HAB;1.6988587745526915;;A
3361;2015;EUR_HAB;1.7792838454928992;;A
3361;2016;EUR_HAB;1.7974916468936128;;A
3361;2017;EUR_HAB;1.7303379513218062;;A
3361;2018;EUR_HAB;1.8255897625391393;;A
3361;2019;EUR_HAB;1.718207713171889;;A
3361;2020;EUR_HAB;1.6673626555049479;;A
3364;2004;EUR_HAB;0.3466833862813697;;A
3364;2005;EUR_HAB;0.3506151830680306;;A
3364;2006;EUR_HAB;1.369035682689472;;A
3364;2007;EUR_HAB;1.4242699078388237;;A
3364;2008;EUR_HAB;2.4353084670498615;;A
3364;2009;EUR_HAB;1.3618304509550538;;A
3364;2010;EUR_HAB;2.9396250271647864;;A
3364;2011;EUR_HAB;1.926873890069616;;A
3364;2012;EUR_HAB;1.4957492903852307;;A
3364;2013;EUR_HAB;0.7290622847220103;;A
3364;2014;EUR_HAB;0.8156071990741321;;A
3364;2015;EUR_HAB;1.1586979278336214;;A
3364;2016;EUR_HAB;1.2206681883365929;;A
3364;2017;EUR_HAB;1.0545640697945637;;A
3364;2018;EUR_HAB;0.7325159125950943;;A
3364;2019;EUR_HAB;1.1287252578468856;;A
3364;2020;EUR_HAB;1.0201586463507135;;A
3372;2004;EUR_HAB;1.903598411832151;;A
3372;2005;EUR_HAB;2.6849126103927907;;A
3372;2006;EUR_HAB;1.9518390318001844;;A
3372;2007;EUR_HAB;3.6986036743326713;;A
3372;2008;EUR_HAB;3.797781371632616;;A
3372;2009;EUR_HAB;3.9516863728534624;;A
3372;2010;EUR_HAB;3.9896135336437553;;A
3372;2011;EUR_HAB;4.461623896650494;;A
3372;2012;EUR_HAB;3.645035662713867;;A
3372;2013;EUR_HAB;3.3832633342234955;;A
3372;2014;EUR_HAB;3.2782035114948105;;A
3372;2015;EUR_HAB;2.8934231570784665;;A
3372;2016;EUR_HAB;3.351205785055918;;A
3372;2017;EUR_HAB;4.450048890997279;;A
3372;2018;EUR_HAB;5.983706249155389;;A
3372;2019;EUR_HAB;4.778339979224609;;A
3372;2020;EUR_HAB;5.9549172531862276;;A
3370;2004;EUR_HAB;1.9032543345298345;;A
3370;2005;EUR_HAB;2.3082920309628556;;A
3370;2006;EUR_HAB;2.009304534290993;;A
3370;2007;EUR_HAB;1.912696397897183;;A
3370;2008;EUR_HAB;1.9798884913778751;;A
3370;2009;EUR_HAB;2.115634505773604;;A
3370;2010;EUR_HAB;2.490805658226473;;A
3370;2011;EUR_HAB;3.302452154550389;;A
3370;2012;EUR_HAB;1.8029166296723786;;A
3370;2013;EUR_HAB;2.2200258636615553;;A
3370;2014;EUR_HAB;1.792727219039745;;A
3370;2015;EUR_HAB;1.9476831036047169;;A
3370;2016;EUR_HAB;1.7630919938130662;;A
3370;2017;EUR_HAB;2.297554974909854;;A
3370;2018;EUR_HAB;2.074546319231878;;A
3370;2019;EUR_HAB;2.883973564339732;;A
3370;2020;EUR_HAB;2.8639709921986594;;A
3351;2004;EUR_HAB;17.608354691863358;;A
3351;2005;EUR_HAB;18.18436552867845;;A
3351;2006;EUR_HAB;18.59635797428935;;A
3351;2007;EUR_HAB;19.123414071510958;;A
3351;2008;EUR_HAB;18.528625738698384;;A
3351;2009;EUR_HAB;18.849388450804472;;A
3351;2010;EUR_HAB;18.553529477570198;;A
3351;2011;EUR_HAB;18.00178163799343;;A
3351;2012;EUR_HAB;18.33080901366827;;A
3351;2013;EUR_HAB;17.754734326162897;;A
3351;2014;EUR_HAB;17.208237986270024;;A
3351;2015;EUR_HAB;17.635252258005657;;A
3351;2016;EUR_HAB;13.880952814223063;;A
3351;2017;EUR_HAB;13.214843324498021;;A
3351;2018;EUR_HAB;10.296943548094703;;A
3351;2019;EUR_HAB;10.34120544769632;;A
3351;2020;EUR_HAB;10.884698139476015;;A
3365;2004;EUR_HAB;7.774837382554066;;A
3365;2005;EUR_HAB;6.21611145565695;;A
3365;2006;EUR_HAB;6.55085072407907;;A
3365;2007;EUR_HAB;4.325160415824051;;A
3365;2008;EUR_HAB;4.670159225996789;;A
3365;2009;EUR_HAB;4.355863849007904;;A
3365;2010;EUR_HAB;5.031189686610294;;A
3365;2011;EUR_HAB;5.461520552004402;;A
3365;2012;EUR_HAB;6.106897493539509;;A
3365;2013;EUR_HAB;5.514249406274739;;A
3365;2014;EUR_HAB;5.542950258351296;;A
3365;2015;EUR_HAB;4.756918932157727;;A
3365;2016;EUR_HAB;5.22558474670214;E;A
3365;2017;EUR_HAB;4.798413156089365;E;A
3365;2018;EUR_HAB;4.205810002938514;E;A
3365;2019;EUR_HAB;4.43754140768118;;A
3365;2020;EUR_HAB;4.744220278477491;E;A
3362;2004;EUR_HAB;6.837381150959133;;A
3362;2005;EUR_HAB;6.603661463592273;;A
3362;2006;EUR_HAB;6.84179722820458;;A
3362;2007;EUR_HAB;5.941290627701039;;A
3362;2008;EUR_HAB;5.110652820910973;;A
3362;2009;EUR_HAB;6.089960007067024;;A
3362;2010;EUR_HAB;5.702549394518802;;A
3362;2011;EUR_HAB;6.51068973690448;;A
3362;2012;EUR_HAB;7.326975904560082;;A
3362;2013;EUR_HAB;7.423969675225408;;A
3362;2014;EUR_HAB;6.517949749988389;;A
3362;2015;EUR_HAB;7.406343111657195;;A
3362;2016;EUR_HAB;6.836613453570558;;A
3362;2017;EUR_HAB;7.150590551181103;;A
3362;2018;EUR_HAB;6.276386296586188;;A
3362;2019;EUR_HAB;5.974310223513032;;A
3379;2004;EUR_HAB;60.933014354066984;;A
3379;2005;EUR_HAB;74.67387630956404;;A
3379;2006;EUR_HAB;72.19848833388104;;A
3379;2007;EUR_HAB;75.06101477199743;;A
3379;2008;EUR_HAB;61.365059486537255;;A
3379;2009;EUR_HAB;48.1359649122807;;A
3379;2010;EUR_HAB;50.698113207547166;;A
3379;2011;EUR_HAB;64.88401253918495;;A
3379;2012;EUR_HAB;69.763018397256;;A
3379;2013;EUR_HAB;56.42989499691167;;A
