D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;2355;3691;212544;Número de pensionistas;155.0;A
2019;2355;3689;212544;Número de pensionistas;128.0;A
2019;2355;3690;212544;Número de pensionistas;27.0;A
2019;2356;3691;212544;Número de pensionistas;9291.0;A
2019;2356;3689;212544;Número de pensionistas;7550.0;A
2019;2356;3690;212544;Número de pensionistas;1741.0;A
2019;2357;3691;212544;Número de pensionistas;646.0;A
2019;2357;3689;212544;Número de pensionistas;450.0;A
2019;2357;3690;212544;Número de pensionistas;196.0;A
2019;2358;3691;212544;Número de pensionistas;2729.0;A
2019;2358;3689;212544;Número de pensionistas;2042.0;A
2019;2358;3690;212544;Número de pensionistas;687.0;A
2019;2359;3691;212544;Número de pensionistas;1828.0;A
2019;2359;3689;212544;Número de pensionistas;1610.0;A
2019;2359;3690;212544;Número de pensionistas;218.0;A
2019;2361;3691;212544;Número de pensionistas;1538.0;A
2019;2361;3689;212544;Número de pensionistas;1323.0;A
2019;2361;3690;212544;Número de pensionistas;215.0;A
2019;2397;3691;212544;Número de pensionistas;565.0;A
2019;2397;3689;212544;Número de pensionistas;488.0;A
2019;2397;3690;212544;Número de pensionistas;77.0;A
2019;2362;3691;212544;Número de pensionistas;66.0;A
2019;2362;3689;212544;Número de pensionistas;56.0;A
2019;2362;3690;212544;Número de pensionistas;10.0;A
2019;2363;3691;212544;Número de pensionistas;867.0;A
2019;2363;3689;212544;Número de pensionistas;559.0;A
2019;2363;3690;212544;Número de pensionistas;308.0;A
2019;2364;3691;212544;Número de pensionistas;185.0;A
2019;2364;3689;212544;Número de pensionistas;131.0;A
2019;2364;3690;212544;Número de pensionistas;54.0;A
2019;2365;3691;212544;Número de pensionistas;13513.0;A
2019;2365;3689;212544;Número de pensionistas;9719.0;A
2019;2365;3690;212544;Número de pensionistas;3794.0;A
2019;2366;3691;212544;Número de pensionistas;196.0;A
2019;2366;3689;212544;Número de pensionistas;169.0;A
2019;2366;3690;212544;Número de pensionistas;27.0;A
2019;2368;3691;212544;Número de pensionistas;5483.0;A
2019;2368;3689;212544;Número de pensionistas;4724.0;A
2019;2368;3690;212544;Número de pensionistas;759.0;A
2019;2369;3691;212544;Número de pensionistas;1526.0;A
2019;2369;3689;212544;Número de pensionistas;1239.0;A
2019;2369;3690;212544;Número de pensionistas;287.0;A
2019;2367;3691;212544;Número de pensionistas;1652.0;A
2019;2367;3689;212544;Número de pensionistas;1448.0;A
2019;2367;3690;212544;Número de pensionistas;204.0;A
2019;2370;3691;212544;Número de pensionistas;469.0;A
2019;2370;3689;212544;Número de pensionistas;281.0;A
2019;2370;3690;212544;Número de pensionistas;188.0;A
2019;2371;3691;212544;Número de pensionistas;239.0;A
2019;2371;3689;212544;Número de pensionistas;149.0;A
2019;2371;3690;212544;Número de pensionistas;90.0;A
2019;2372;3691;212544;Número de pensionistas;235.0;A
2019;2372;3689;212544;Número de pensionistas;188.0;A
2019;2372;3690;212544;Número de pensionistas;47.0;A
2019;2373;3691;212544;Número de pensionistas;18074.0;A
2019;2373;3689;212544;Número de pensionistas;13821.0;A
