TEMPORAL;SEXO;MCVL_TIPOPENSION;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2008;M;55186;ES615;55179;POP;32125.0;A
2008;M;55186;ES616;55179;POP;51550.0;A
2008;M;55186;ES617;55179;POP;78675.0;A
2008;M;55186;ES618;55179;POP;103600.0;A
2008;M;55186;ES61;55179;POP;477500.0;A
2008;M;55187;ES611;55179;POP;625.0;A
2008;M;55187;ES612;55179;POP;550.0;A
2008;M;55187;ES613;55179;POP;1075.0;A
2008;M;55187;ES614;55179;POP;975.0;A
2008;M;55187;ES615;55179;POP;650.0;A
2008;M;55187;ES616;55179;POP;825.0;A
2008;M;55187;ES617;55179;POP;1725.0;A
2008;M;55187;ES618;55179;POP;2650.0;A
2008;M;55187;ES61;55179;POP;9075.0;A
2008;M;55188;ES611;55179;POP;2100.0;A
2008;M;55188;ES612;55179;POP;5025.0;A
2008;M;55188;ES613;55179;POP;3125.0;A
2008;M;55188;ES614;55179;POP;3525.0;A
2008;M;55188;ES615;55179;POP;2175.0;A
2008;M;55188;ES616;55179;POP;2525.0;A
2008;M;55188;ES617;55179;POP;4975.0;A
2008;M;55188;ES618;55179;POP;7950.0;A
2008;M;55188;ES61;55179;POP;31400.0;A
2008;M;55192;ES611;55179;POP;1475.0;A
2008;M;55192;ES612;55179;POP;1450.0;A
2008;M;55192;ES613;55179;POP;2750.0;A
2008;M;55192;ES614;55179;POP;2925.0;A
2008;M;55192;ES615;55179;POP;900.0;A
2008;M;55192;ES616;55179;POP;1300.0;A
2008;M;55192;ES617;55179;POP;2550.0;A
2008;M;55192;ES618;55179;POP;3750.0;A
2008;M;55192;ES61;55179;POP;17100.0;A
2008;M;55190;ES611;55179;POP;1425.0;A
2008;M;55190;ES612;55179;POP;1050.0;A
2008;M;55190;ES613;55179;POP;2475.0;A
2008;M;55190;ES614;55179;POP;2675.0;A
2008;M;55190;ES615;55179;POP;725.0;A
2008;M;55190;ES616;55179;POP;1150.0;A
2008;M;55190;ES617;55179;POP;2275.0;A
