TEMPORAL;SEXO;TIPRELACIONSS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2011;M;55183;ES618;POP;145200.0;A
2011;M;55183;ES61;POP;637850.0;A
2011;M;55184;ES611;POP;3675.0;A
2011;M;55184;ES612;POP;12175.0;A
2011;M;55184;ES613;POP;6850.0;A
2011;M;55184;ES614;POP;7100.0;A
2011;M;55184;ES615;POP;4900.0;A
2011;M;55184;ES616;POP;6325.0;A
2011;M;55184;ES617;POP;11500.0;A
2011;M;55184;ES618;POP;18400.0;A
2011;M;55184;ES61;POP;70925.0;A
2011;F;55181;ES611;POP;183625.0;A
2011;F;55181;ES612;POP;314650.0;A
2011;F;55181;ES613;POP;240250.0;A
2011;F;55181;ES614;POP;267100.0;A
2011;F;55181;ES615;POP;174625.0;A
2011;F;55181;ES616;POP;191625.0;A
2011;F;55181;ES617;POP;433400.0;A
2011;F;55181;ES618;POP;561175.0;A
2011;F;55181;ES61;POP;2366450.0;A
2011;F;55182;ES611;POP;142675.0;A
2011;F;55182;ES612;POP;233975.0;A
2011;F;55182;ES613;POP;165850.0;A
2011;F;55182;ES614;POP;188550.0;A
2011;F;55182;ES615;POP;133550.0;A
2011;F;55182;ES616;POP;134250.0;A
2011;F;55182;ES617;POP;326775.0;A
2011;F;55182;ES618;POP;402200.0;A
2011;F;55182;ES61;POP;1727825.0;A
2011;F;55183;ES611;POP;36750.0;A
2011;F;55183;ES612;POP;73725.0;A
2011;F;55183;ES613;POP;68275.0;A
2011;F;55183;ES614;POP;71900.0;A
2011;F;55183;ES615;POP;37125.0;A
2011;F;55183;ES616;POP;52150.0;A
2011;F;55183;ES617;POP;97975.0;A
2011;F;55183;ES618;POP;145425.0;A
2011;F;55183;ES61;POP;583325.0;A
2011;F;55184;ES611;POP;4200.0;A
2011;F;55184;ES612;POP;6950.0;A
2011;F;55184;ES613;POP;6125.0;A
2011;F;55184;ES614;POP;6650.0;A
2011;F;55184;ES615;POP;3950.0;A
2011;F;55184;ES616;POP;5225.0;A
2011;F;55184;ES617;POP;8650.0;A
2011;F;55184;ES618;POP;13550.0;A
