SEXO;EPD_GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;ESTADOCIVIL;EPD_NIVELESTUDIOSTER;EPD_RELACTIVIDAD;EPD_SITUACPROFES;EPD_PERCEPPRESINVAL;EPD_SITUACIONDEPEND;EPD_COMPHOGACTIVIDAD;EPD_PRESENCDISCAPAC;EPD_AMBITOESTUDHOG
_T;Y45-64;2014;5733;ES61;POP;230123.30994;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2020;5732;ES61;POP;5186332.37613;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2020;5733;ES61;POP;380104.37389;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2019;5732;ES61;POP;5158340.82145;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2019;5733;ES61;POP;383540.92910999997;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2018;5732;ES61;POP;5133221.42824;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2018;5733;ES61;POP;384213.07175;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2017;5732;ES61;POP;5143195.08601;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2017;5733;ES61;POP;372652.16483;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2016;5732;ES61;POP;5155560.69442;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2016;5733;ES61;POP;371284.55678;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2015;5732;ES61;POP;5188590.6318500005;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2015;5733;ES61;POP;352296.61819;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2014;5732;ES61;POP;5209621.094819999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;TOTAL;2014;5733;ES61;POP;337517.41017;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2020;5732;ES61;PC;15.83024539286852;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2020;5733;ES61;PC;6.073976710741338;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2019;5732;ES61;PC;15.644381525085327;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2019;5733;ES61;PC;6.099904071063072;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2018;5732;ES61;PC;15.650984468382372;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2018;5733;ES61;PC;5.156976502892905;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2017;5732;ES61;PC;15.640430931231315;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2017;5733;ES61;PC;4.984552835339516;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2016;5732;ES61;PC;15.742771137561284;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2016;5733;ES61;PC;4.852958526684424;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2015;5732;ES61;PC;15.802721999370867;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2015;5733;ES61;PC;5.531399225591022;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2014;5732;ES61;PC;16.0049805187303;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2014;5733;ES61;PC;4.779299259583243;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2020;5732;ES61;PC;42.675435329368916;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2020;5733;ES61;PC;21.54429004777094;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2019;5732;ES61;PC;43.44664414873477;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2019;5733;ES61;PC;23.607424842197776;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2018;5732;ES61;PC;44.13543159387003;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2018;5733;ES61;PC;25.581116303722634;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2017;5732;ES61;PC;44.80911812591112;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2017;5733;ES61;PC;26.377708951810757;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2016;5732;ES61;PC;45.76515183963596;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2016;5733;ES61;PC;25.195206004102655;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
