TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ
2019;2373;M;212544;NUM_PEN_PERS;13821.0;A
2019;2373;F;212544;NUM_PEN_PERS;4253.0;A
2019;2374;_T;212544;NUM_PEN_PERS;800.0;A
2019;2374;M;212544;NUM_PEN_PERS;680.0;A
2019;2374;F;212544;NUM_PEN_PERS;120.0;A
2019;2375;_T;212544;NUM_PEN_PERS;4938.0;A
2019;2375;M;212544;NUM_PEN_PERS;3904.0;A
2019;2375;F;212544;NUM_PEN_PERS;1034.0;A
2019;2376;_T;212544;NUM_PEN_PERS;988.0;A
2019;2376;M;212544;NUM_PEN_PERS;864.0;A
2019;2376;F;212544;NUM_PEN_PERS;124.0;A
2019;2377;_T;212544;NUM_PEN_PERS;1000.0;A
2019;2377;M;212544;NUM_PEN_PERS;648.0;A
2019;2377;F;212544;NUM_PEN_PERS;352.0;A
2019;2378;_T;212544;NUM_PEN_PERS;470.0;A
2019;2378;M;212544;NUM_PEN_PERS;394.0;A
2019;2378;F;212544;NUM_PEN_PERS;76.0;A
2019;2379;_T;212544;NUM_PEN_PERS;596.0;A
2019;2379;M;212544;NUM_PEN_PERS;414.0;A
2019;2379;F;212544;NUM_PEN_PERS;182.0;A
2019;2380;_T;212544;NUM_PEN_PERS;6962.0;A
2019;2380;M;212544;NUM_PEN_PERS;5560.0;A
2019;2380;F;212544;NUM_PEN_PERS;1402.0;A
2019;2381;_T;212544;NUM_PEN_PERS;3131.0;A
2019;2381;M;212544;NUM_PEN_PERS;2637.0;A
2019;2381;F;212544;NUM_PEN_PERS;494.0;A
2019;2382;_T;212544;NUM_PEN_PERS;577.0;A
2019;2382;M;212544;NUM_PEN_PERS;334.0;A
2019;2382;F;212544;NUM_PEN_PERS;243.0;A
2019;2383;_T;212544;NUM_PEN_PERS;2243.0;A
2019;2383;M;212544;NUM_PEN_PERS;1915.0;A
2019;2383;F;212544;NUM_PEN_PERS;328.0;A
2019;2384;_T;212544;NUM_PEN_PERS;6646.0;A
2019;2384;M;212544;NUM_PEN_PERS;5412.0;A
2019;2384;F;212544;NUM_PEN_PERS;1234.0;A
2019;2398;_T;212544;NUM_PEN_PERS;461.0;A
2019;2398;M;212544;NUM_PEN_PERS;356.0;A
2019;2398;F;212544;NUM_PEN_PERS;105.0;A
2019;2386;_T;212544;NUM_PEN_PERS;2185.0;A
2019;2386;M;212544;NUM_PEN_PERS;1777.0;A
2019;2386;F;212544;NUM_PEN_PERS;408.0;A
2019;2385;_T;212544;NUM_PEN_PERS;5665.0;A
2019;2385;M;212544;NUM_PEN_PERS;4587.0;A
2019;2385;F;212544;NUM_PEN_PERS;1078.0;A
