ESTADO_DATO;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO
A;ES611;264447;2020;55565;VIAJEROS;317856.505637302;A;
A;ES611;264447;2020;55697;VIAJEROS;47390.634689339;A;
A;ES611;264447;2019;55698;VIAJEROS;1106211.142491528;A;
A;ES611;264447;2019;55565;VIAJEROS;853612.523805686;A;
A;ES611;264447;2019;55697;VIAJEROS;252598.618685842;A;
A;ES611;264447;2018;55698;VIAJEROS;1112880.000007774;A;
A;ES611;264447;2018;55565;VIAJEROS;843141.859875584;A;
A;ES611;264447;2018;55697;VIAJEROS;269738.14013219;A;
A;ES611;264447;2017;55698;VIAJEROS;1068905.555780023;A;
A;ES611;264447;2017;55565;VIAJEROS;790765.300918674;A;
A;ES611;264447;2017;55697;VIAJEROS;278140.254861349;A;
A;ES611;264447;2016;55698;VIAJEROS;1046829.134145404;A;
A;ES611;264447;2016;55565;VIAJEROS;801813.558416664;A;
A;ES611;264447;2016;55697;VIAJEROS;245015.57572874;A;
A;ES611;264447;2015;55698;VIAJEROS;936249.142032505;A;
A;ES611;264447;2015;55565;VIAJEROS;763345.48963449;A;
A;ES611;264447;2015;55697;VIAJEROS;172903.652398015;A;
A;ES611;264447;2014;55698;VIAJEROS;849253.341442859;A;
A;ES611;264447;2014;55565;VIAJEROS;683129.74295508;A;
A;ES611;264447;2014;55697;VIAJEROS;166123.598487779;A;
A;ES611;264447;2013;55698;VIAJEROS;735740.43;A;
A;ES611;264447;2013;55565;VIAJEROS;595059.98;A;
A;ES611;264447;2013;55697;VIAJEROS;140680.45;A;
A;ES611;264447;2012;55698;VIAJEROS;738876.55;A;
A;ES611;264447;2012;55565;VIAJEROS;625970.88;A;
A;ES611;264447;2012;55697;VIAJEROS;112905.67;A;
A;ES611;264447;2011;55698;VIAJEROS;759606.05;A;
A;ES611;264447;2011;55565;VIAJEROS;662218.57;A;
A;ES611;264447;2011;55697;VIAJEROS;97387.48;A;
A;ES611;264447;2010;55698;VIAJEROS;785618.04;A;
A;ES611;264447;2010;55565;VIAJEROS;694701.95;A;
A;ES611;264447;2010;55697;VIAJEROS;90916.09;A;
A;ES611;264447;2009;55698;VIAJEROS;738409.74;A;
A;ES611;264447;2009;55565;VIAJEROS;631556.84;A;
A;ES611;264447;2009;55697;VIAJEROS;106852.9;A;
A;ES611;264447;2008;55698;VIAJEROS;794794.07;A;
A;ES611;264447;2008;55565;VIAJEROS;657645.04;A;
A;ES611;264447;2008;55697;VIAJEROS;137149.03;A;
A;ES611;264446;2020;55698;VIAJEROS;59454.032854205;A;
A;ES611;264446;2020;55565;VIAJEROS;49382.966125022;A;
A;ES611;264446;2020;55697;VIAJEROS;10071.066729183;A;
