TEMPORAL;CIE10;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;57018;ES618;_T;DEATHS;2.0;A
2020;57018;ES618;F;DEATHS;2.0;A
2020;57078;ES61;_T;DEATHS;117.0;A
2020;57078;ES61;M;DEATHS;67.0;A
2020;57078;ES61;F;DEATHS;50.0;A
2020;57078;ES611;_T;DEATHS;24.0;A
2020;57078;ES611;M;DEATHS;10.0;A
2020;57078;ES611;F;DEATHS;14.0;A
2020;57078;ES612;_T;DEATHS;14.0;A
2020;57078;ES612;M;DEATHS;11.0;A
2020;57078;ES612;F;DEATHS;3.0;A
2020;57078;ES613;_T;DEATHS;8.0;A
2020;57078;ES613;M;DEATHS;3.0;A
2020;57078;ES613;F;DEATHS;5.0;A
2020;57078;ES614;_T;DEATHS;6.0;A
2020;57078;ES614;M;DEATHS;4.0;A
2020;57078;ES614;F;DEATHS;2.0;A
2020;57078;ES615;_T;DEATHS;9.0;A
2020;57078;ES615;M;DEATHS;6.0;A
2020;57078;ES615;F;DEATHS;3.0;A
2020;57078;ES616;_T;DEATHS;10.0;A
2020;57078;ES616;M;DEATHS;5.0;A
2020;57078;ES616;F;DEATHS;5.0;A
2020;57078;ES617;_T;DEATHS;19.0;A
2020;57078;ES617;M;DEATHS;12.0;A
2020;57078;ES617;F;DEATHS;7.0;A
2020;57078;ES618;_T;DEATHS;27.0;A
2020;57078;ES618;M;DEATHS;16.0;A
2020;57078;ES618;F;DEATHS;11.0;A
2020;57167;ES61;_T;DEATHS;168.0;A
2020;57167;ES61;M;DEATHS;96.0;A
2020;57167;ES61;F;DEATHS;72.0;A
2020;57167;ES611;_T;DEATHS;10.0;A
2020;57167;ES611;M;DEATHS;6.0;A
2020;57167;ES611;F;DEATHS;4.0;A
2020;57167;ES612;_T;DEATHS;23.0;A
2020;57167;ES612;M;DEATHS;12.0;A
2020;57167;ES612;F;DEATHS;11.0;A
2020;57167;ES613;_T;DEATHS;17.0;A
2020;57167;ES613;M;DEATHS;8.0;A
2020;57167;ES613;F;DEATHS;9.0;A
2020;57167;ES614;_T;DEATHS;22.0;A
2020;57167;ES614;M;DEATHS;14.0;A
2020;57167;ES614;F;DEATHS;8.0;A
2020;57167;ES615;_T;DEATHS;16.0;A
2020;57167;ES615;M;DEATHS;6.0;A
2020;57167;ES615;F;DEATHS;10.0;A
2020;57167;ES616;_T;DEATHS;16.0;A
2020;57167;ES616;M;DEATHS;9.0;A
2020;57167;ES616;F;DEATHS;7.0;A
2020;57167;ES617;_T;DEATHS;24.0;A
2020;57167;ES617;M;DEATHS;14.0;A
2020;57167;ES617;F;DEATHS;10.0;A
2020;57167;ES618;_T;DEATHS;40.0;A
2020;57167;ES618;M;DEATHS;27.0;A
2020;57167;ES618;F;DEATHS;13.0;A
2020;57258;ES61;_T;DEATHS;3147.0;A
2020;57258;ES61;M;DEATHS;1345.0;A
2020;57258;ES61;F;DEATHS;1802.0;A
2020;57258;ES611;_T;DEATHS;484.0;A
2020;57258;ES611;M;DEATHS;233.0;A
2020;57258;ES611;F;DEATHS;251.0;A
2020;57258;ES612;_T;DEATHS;544.0;A
2020;57258;ES612;M;DEATHS;231.0;A
2020;57258;ES612;F;DEATHS;313.0;A
2020;57258;ES613;_T;DEATHS;245.0;A
2020;57258;ES613;M;DEATHS;109.0;A
2020;57258;ES613;F;DEATHS;136.0;A
2020;57258;ES614;_T;DEATHS;364.0;A
2020;57258;ES614;M;DEATHS;143.0;A
2020;57258;ES614;F;DEATHS;221.0;A
2020;57258;ES615;_T;DEATHS;269.0;A
2020;57258;ES615;M;DEATHS;106.0;A
2020;57258;ES615;F;DEATHS;163.0;A
2020;57258;ES616;_T;DEATHS;483.0;A
2020;57258;ES616;M;DEATHS;208.0;A
2020;57258;ES616;F;DEATHS;275.0;A
2020;57258;ES617;_T;DEATHS;575.0;A
2020;57258;ES617;M;DEATHS;256.0;A
2020;57258;ES617;F;DEATHS;319.0;A
2020;57258;ES618;_T;DEATHS;183.0;A
2020;57258;ES618;M;DEATHS;59.0;A
2020;57258;ES618;F;DEATHS;124.0;A
2020;57627;ES61;_T;DEATHS;2601.0;A
2020;57627;ES61;M;DEATHS;1767.0;A
2020;57627;ES61;F;DEATHS;834.0;A
2020;57627;ES611;_T;DEATHS;271.0;A
2020;57627;ES611;M;DEATHS;181.0;A
2020;57627;ES611;F;DEATHS;90.0;A
2020;57627;ES612;_T;DEATHS;344.0;A
2020;57627;ES612;M;DEATHS;242.0;A
2020;57627;ES612;F;DEATHS;102.0;A
2020;57627;ES613;_T;DEATHS;291.0;A
2020;57627;ES613;M;DEATHS;185.0;A
2020;57627;ES613;F;DEATHS;106.0;A
2020;57627;ES614;_T;DEATHS;290.0;A
2020;57627;ES614;M;DEATHS;189.0;A
2020;57627;ES614;F;DEATHS;101.0;A
2020;57627;ES615;_T;DEATHS;176.0;A
2020;57627;ES615;M;DEATHS;122.0;A
2020;57627;ES615;F;DEATHS;54.0;A
2020;57627;ES616;_T;DEATHS;234.0;A
2020;57627;ES616;M;DEATHS;157.0;A
2020;57627;ES616;F;DEATHS;77.0;A
2020;57627;ES617;_T;DEATHS;499.0;A
2020;57627;ES617;M;DEATHS;345.0;A
2020;57627;ES617;F;DEATHS;154.0;A
2020;57627;ES618;_T;DEATHS;496.0;A
2020;57627;ES618;M;DEATHS;346.0;A
2020;57627;ES618;F;DEATHS;150.0;A
2019;57628;ES61;_T;DEATHS;70505.0;A
2019;57628;ES61;M;DEATHS;36434.0;A
2019;57628;ES61;F;DEATHS;34071.0;A
2019;57628;ES611;_T;DEATHS;5270.0;A
2019;57628;ES611;M;DEATHS;2862.0;A
2019;57628;ES611;F;DEATHS;2408.0;A
2019;57628;ES612;_T;DEATHS;10044.0;A
2019;57628;ES612;M;DEATHS;5324.0;A
2019;57628;ES612;F;DEATHS;4720.0;A
2019;57628;ES613;_T;DEATHS;7749.0;A
2019;57628;ES613;M;DEATHS;3830.0;A
