D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADOCIVIL_0;D_ESTADOCIVILC2_0;INDICATOR;OBS_VALUE;FREQ
2015;ES61;5;3;;10.2412;A
2015;ES61;5;5;;362.4843;A
2015;ES611;00;00;;1398.5163;A
2015;ES611;00;1;;1262.352;A
2015;ES611;00;3;;7.893;A
2015;ES611;00;5;;128.2713;A
2015;ES611;1;00;;1296.2718;A
2015;ES611;1;1;;1203.1344;A
2015;ES611;1;3;;7.893;A
2015;ES611;1;5;;85.2444;A
2015;ES611;3;00;;9.4716;A
2015;ES611;3;1;;7.893;A
2015;ES611;3;5;;1.5786;A
2015;ES611;5;00;;92.7729;A
2015;ES611;5;1;;51.3246;A
2015;ES611;5;5;;41.4483;A
2015;ES612;00;00;;2355.5567;A
2015;ES612;00;1;;2228.4324;A
2015;ES612;00;3;;3.1876;A
2015;ES612;00;5;;123.9367;A
2015;ES612;1;00;;2197.3408;A
2015;ES612;1;1;;2132.7794;A
2015;ES612;1;3;;1.5938;A
2015;ES612;1;5;;62.9676;A
2015;ES612;3;00;;11.1566;A
2015;ES612;3;1;;6.3752;A
2015;ES612;3;5;;4.7814;A
2015;ES612;5;00;;147.0593;A
2015;ES612;5;1;;89.2778;A
2015;ES612;5;3;;1.5938;A
2015;ES612;5;5;;56.1877;A
2015;ES613;00;00;;1621.987;A
