D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2012;ES613;3;DIV;29.24019;A
2012;ES613;4;DIV;4.60962;A
2012;ES613;05mas;DIV;1.24824;A
2012;ES614;000;DIV;2194.10578;A
2012;ES614;0;DIV;898.12826;A
2012;ES614;1;DIV;630.93392;A
2012;ES614;2;DIV;565.05708;A
2012;ES614;3;DIV;93.88036;A
2012;ES614;4;DIV;6.10616;A
2012;ES615;000;DIV;1090.26737;A
2012;ES615;0;DIV;435.22177;A
2012;ES615;1;DIV;342.97663;A
2012;ES615;2;DIV;283.31119;A
2012;ES615;3;DIV;27.37762;A
2012;ES615;4;DIV;1.38016;A
2012;ES616;000;DIV;1282.34085;A
2012;ES616;0;DIV;549.47948;A
2012;ES616;1;DIV;362.85464;A
2012;ES616;2;DIV;311.92896;A
2012;ES616;3;DIV;54.36695;A
2012;ES616;4;DIV;1.85541;A
2012;ES616;05mas;DIV;1.85541;A
2012;ES617;000;DIV;4090.46015;A
2012;ES617;0;DIV;1852.62459;A
2012;ES617;1;DIV;1241.96483;A
2012;ES617;2;DIV;859.054;A
2012;ES617;3;DIV;125.03559;A
2012;ES617;4;DIV;10.23833;A
2012;ES617;05mas;DIV;1.54281;A
2012;ES618;000;DIV;4498.89142;A
2012;ES618;0;DIV;1878.12726;A
2012;ES618;1;DIV;1396.51905;A
2012;ES618;2;DIV;1065.95118;A
2012;ES618;3;DIV;151.7999;A
2012;ES618;4;DIV;3.91734;A
2012;ES618;05mas;DIV;2.57669;A
2011;ES61;000;DIV;18257.58564089;A
2011;ES61;0;DIV;7846.04933399;A
2011;ES61;1;DIV;5527.79355028;A
2011;ES61;2;DIV;4267.80886431;A
2011;ES61;3;DIV;556.81508384;A
2011;ES61;4;DIV;51.27548841;A
2011;ES61;05mas;DIV;7.84332006;A
2011;ES611;000;DIV;1426.82187464;A
2011;ES611;0;DIV;583.52640992;A
2011;ES611;1;DIV;473.24332963;A
2011;ES611;2;DIV;325.8645722;A
2011;ES611;3;DIV;33.50802275;A
2011;ES611;4;DIV;8.94397693;A
2011;ES611;05mas;DIV;1.73556321;A
2011;ES612;000;DIV;2822.48660103;A
2011;ES612;0;DIV;1202.3111071;A
2011;ES612;1;DIV;876.25066798;A
2011;ES612;2;DIV;687.0078043;A
2011;ES612;3;DIV;54.20382726;A
2011;ES612;4;DIV;2.71319439;A
2011;ES613;000;DIV;1607.8291226;A
2011;ES613;0;DIV;694.5188753;A
2011;ES613;1;DIV;460.81061422;A
2011;ES613;2;DIV;405.63396368;A
2011;ES613;3;DIV;45.24572844;A
2011;ES613;4;DIV;1.61994096;A
2011;ES613;05mas;DIV;;A
2011;ES614;000;DIV;2058.63585768;A
2011;ES614;0;DIV;942.86928504;A
2011;ES614;1;DIV;588.47517352;A
2011;ES614;2;DIV;447.82141032;A
