TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;15.575333645526285;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;11.885508247119486;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;5.452441428971442;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;5.924878785283725;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;12.94853156197116;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;5.01775656934943;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;5.971189002884599;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;12.142116202474524;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;5.503444331282038;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;9.153477160417943;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM_B;8.065538128417051;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;2.543630871037139;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;3.3816198641711543;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;6.045057632325194;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;2.694528543337807;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;3.754376187748859;A
