D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOHOGAR_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2007;3690;273749;2713;Población;90100.0;A
2007;3690;273749;2797;Población;48300.0;A
2007;3690;273749;2911;Población;70550.0;A
2007;3690;273749;3023;Población;137850.0;A
2007;3690;273749;3142;Población;198425.0;A
2007;3690;273749;3143;Población;795575.0;A
2007;3690;273754;2352;Población;18825.0;A
2007;3690;273754;2402;Población;41900.0;A
2007;3690;273754;2482;Población;26475.0;A
2007;3690;273754;2713;Población;34825.0;A
2007;3690;273754;2797;Población;16750.0;A
2007;3690;273754;2911;Población;26300.0;A
2007;3690;273754;3023;Población;54775.0;A
2007;3690;273754;3142;Población;66475.0;A
2007;3690;273754;3143;Población;286325.0;A
2007;3690;273755;2352;Población;12275.0;A
2007;3690;273755;2402;Población;18875.0;A
2007;3690;273755;2482;Población;24125.0;A
2007;3690;273755;2713;Población;22725.0;A
2007;3690;273755;2797;Población;9950.0;A
2007;3690;273755;2911;Población;15350.0;A
2007;3690;273755;3023;Población;26825.0;A
2007;3690;273755;3142;Población;40575.0;A
2007;3690;273755;3143;Población;170700.0;A
2007;3690;273756;2352;Población;11975.0;A
2007;3690;273756;2402;Población;23975.0;A
2007;3690;273756;2482;Población;18250.0;A
2007;3690;273756;2713;Población;14725.0;A
2007;3690;273756;2797;Población;10325.0;A
2007;3690;273756;2911;Población;14100.0;A
2007;3690;273756;3023;Población;28025.0;A
2007;3690;273756;3142;Población;48600.0;A
2007;3690;273756;3143;Población;169975.0;A
2007;3690;273757;2352;Población;12625.0;A
2007;3690;273757;2402;Población;22000.0;A
2007;3690;273757;2482;Población;19050.0;A
2007;3690;273757;2713;Población;17825.0;A
2007;3690;273757;2797;Población;11275.0;A
2007;3690;273757;2911;Población;14800.0;A
2007;3690;273757;3023;Población;28225.0;A
2007;3690;273757;3142;Población;42775.0;A
2007;3690;273757;3143;Población;168575.0;A
2007;3690;273750;2352;Población;77950.0;A
2007;3690;273750;2402;Población;122075.0;A
2007;3690;273750;2482;Población;97075.0;A
2007;3690;273750;2713;Población;97050.0;A
2007;3690;273750;2797;Población;59625.0;A
2007;3690;273750;2911;Población;64450.0;A
2007;3690;273750;3023;Población;165525.0;A
2007;3690;273750;3142;Población;234475.0;A
2007;3690;273750;3143;Población;918225.0;A
2007;3690;273758;2352;Población;49050.0;A
2007;3690;273758;2402;Población;80925.0;A
2007;3690;273758;2482;Población;66025.0;A
2007;3690;273758;2713;Población;69800.0;A
2007;3690;273758;2797;Población;40825.0;A
2007;3690;273758;2911;Población;45950.0;A
2007;3690;273758;3023;Población;111075.0;A
2007;3690;273758;3142;Población;160500.0;A
2007;3690;273758;3143;Población;624150.0;A
2007;3690;273759;2352;Población;28900.0;A
2007;3690;273759;2402;Población;41150.0;A
2007;3690;273759;2482;Población;31050.0;A
2007;3690;273759;2713;Población;27250.0;A
2007;3690;273759;2797;Población;18800.0;A
2007;3690;273759;2911;Población;18500.0;A
2007;3690;273759;3023;Población;54450.0;A
2007;3690;273759;3142;Población;73975.0;A
2007;3690;273759;3143;Población;294075.0;A
2007;3690;273861;2352;Población;9450.0;A
2007;3690;273861;2402;Población;8875.0;A
2007;3690;273861;2482;Población;6900.0;A
