OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55538;55556;2018;VIAJEROS;14237.95685271;A
A;55538;55556;2017;VIAJEROS;11886.9227533;A
A;55538;55556;2016;VIAJEROS;12846.069050251;A
A;55538;55556;2015;VIAJEROS;10863.91015225;A
A;55538;55556;2014;VIAJEROS;8882.246436878;A
A;55538;55556;2013;VIAJEROS;10431.39;A
A;55538;55556;2012;VIAJEROS;7802.44;A
A;55538;55556;2011;VIAJEROS;12244.13;A
A;55538;55556;2010;VIAJEROS;12819.11;A
A;55538;55556;2009;VIAJEROS;14057.03;A
A;55538;55556;2008;VIAJEROS;15578.96;A
A;55538;55557;2020;VIAJEROS;3788.846683398;A
A;55538;55557;2019;VIAJEROS;7235.128885472;A
A;55538;55557;2018;VIAJEROS;8406.757491547;A
A;55538;55557;2017;VIAJEROS;7881.100593888;A
A;55538;55557;2016;VIAJEROS;8249.56852807;A
A;55538;55557;2015;VIAJEROS;7461.12148796;A
A;55538;55557;2014;VIAJEROS;5928.4338327;A
A;55538;55557;2013;VIAJEROS;7120.94;A
A;55538;55557;2012;VIAJEROS;6437.63;A
A;55538;55557;2011;VIAJEROS;6771.35;A
A;55538;55557;2010;VIAJEROS;7745.81;A
A;55538;55557;2009;VIAJEROS;9938.42;A
A;55538;55557;2008;VIAJEROS;11369.46;A
A;55538;55558;2020;VIAJEROS;17676.761744009;A
A;55538;55558;2019;VIAJEROS;36165.060583816;A
A;55538;55558;2018;VIAJEROS;34300.67486386;A
A;55538;55558;2017;VIAJEROS;32963.27871526;A
A;55538;55558;2016;VIAJEROS;39197.14310811;A
A;55538;55558;2015;VIAJEROS;37627.8055239;A
A;55538;55558;2014;VIAJEROS;32049.27737546;A
A;55538;55558;2013;VIAJEROS;30250.87;A
A;55538;55558;2012;VIAJEROS;28354.13;A
A;55538;55558;2011;VIAJEROS;28682.49;A
A;55538;55558;2010;VIAJEROS;34482.19;A
A;55538;55558;2009;VIAJEROS;39228.26;A
A;55538;55558;2008;VIAJEROS;40544.19;A
A;55538;55559;2020;VIAJEROS;2177.711585778;A
A;55538;55559;2019;VIAJEROS;5821.55264255;A
A;55538;55559;2018;VIAJEROS;5460.63083757;A
A;55538;55559;2017;VIAJEROS;4898.093832874;A
A;55538;55559;2016;VIAJEROS;3450.821392067;A
A;55538;55559;2015;VIAJEROS;4066.60299257;A
A;55538;55559;2014;VIAJEROS;3257.024775622;A
A;55538;55559;2013;VIAJEROS;3777.69;A
A;55538;55559;2012;VIAJEROS;3249.23;A
A;55538;55559;2011;VIAJEROS;4258.48;A
A;55538;55559;2010;VIAJEROS;5625.81;A
A;55538;55559;2009;VIAJEROS;3885.1;A
A;55538;55559;2008;VIAJEROS;4973.92;A
