TEMPORAL;SEXO;AA_TIPOCOTIZACA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;_T;515774;515892;NUME_AUTO;337925.0;A
2020;_T;515775;ES611;NUME_AUTO;5450.0;A
2020;_T;515775;ES612;NUME_AUTO;4900.0;A
2020;_T;515775;ES613;NUME_AUTO;4550.0;A
2020;_T;515775;ES614;NUME_AUTO;5600.0;A
2020;_T;515775;ES615;NUME_AUTO;2975.0;A
2020;_T;515775;ES616;NUME_AUTO;6375.0;A
2020;_T;515775;ES617;NUME_AUTO;9550.0;A
2020;_T;515775;ES618;NUME_AUTO;10025.0;A
2020;_T;515775;515892;NUME_AUTO;49725.0;A
2020;_T;515776;ES611;NUME_AUTO;17775.0;A
2020;_T;515776;ES612;NUME_AUTO;30450.0;A
2020;_T;515776;ES613;NUME_AUTO;22750.0;A
2020;_T;515776;ES614;NUME_AUTO;29750.0;A
2020;_T;515776;ES615;NUME_AUTO;12175.0;A
2020;_T;515776;ES616;NUME_AUTO;17375.0;A
2020;_T;515776;ES617;NUME_AUTO;58975.0;A
2020;_T;515776;ES618;NUME_AUTO;51175.0;A
2020;_T;515776;515892;NUME_AUTO;242275.0;A
2020;_T;515777;ES611;NUME_AUTO;3350.0;A
2020;_T;515777;ES612;NUME_AUTO;5925.0;A
2020;_T;515777;ES613;NUME_AUTO;4500.0;A
2020;_T;515777;ES614;NUME_AUTO;5800.0;A
2020;_T;515777;ES615;NUME_AUTO;2200.0;A
2020;_T;515777;ES616;NUME_AUTO;4700.0;A
2020;_T;515777;ES617;NUME_AUTO;9600.0;A
2020;_T;515777;ES618;NUME_AUTO;9650.0;A
2020;_T;515777;515892;NUME_AUTO;45925.0;A
