TEMPORAL;TERRITORIO;DURACEMPREND;ANOCELEBRMATRIM;MULTIVARIABL;INDICATOR;OBS_VALUE;FREQ
2020;ES614;516607;5093;516632;SUPERVIVIENTES;4600.0;A
2020;ES614;516607;5094;516632;SUPERVIVIENTES;4850.0;A
2020;ES614;516607;5095;516632;SUPERVIVIENTES;6700.0;A
2020;ES614;516608;5083;516632;SUPERVIVIENTES;4275.0;A
2020;ES614;516608;5084;516632;SUPERVIVIENTES;3975.0;A
2020;ES614;516608;5085;516632;SUPERVIVIENTES;3650.0;A
2020;ES614;516608;5086;516632;SUPERVIVIENTES;3450.0;A
2020;ES614;516608;5087;516632;SUPERVIVIENTES;3275.0;A
2020;ES614;516608;5088;516632;SUPERVIVIENTES;3425.0;A
2020;ES614;516608;5089;516632;SUPERVIVIENTES;4050.0;A
2020;ES614;516608;5090;516632;SUPERVIVIENTES;4875.0;A
2020;ES614;516608;5091;516632;SUPERVIVIENTES;4950.0;A
2020;ES614;516608;5092;516632;SUPERVIVIENTES;4300.0;A
2020;ES614;516608;5093;516632;SUPERVIVIENTES;3950.0;A
2020;ES614;516608;5094;516632;SUPERVIVIENTES;4050.0;A
2020;ES614;516609;5083;516632;SUPERVIVIENTES;3500.0;A
2020;ES614;516609;5084;516632;SUPERVIVIENTES;3250.0;A
2020;ES614;516609;5085;516632;SUPERVIVIENTES;3000.0;A
