TIME_PERIOD;REF_AREA;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ;D_SEXO_0;D_EDAD_0;D_PCSSA_JUBVIUDEDAD_0
2011;2336;5693;NUM_PEN;80.0;A;_Z;_Z;_Z
2011;2336;275092;NUM_PEN;11.0;A;_Z;_Z;_Z
2011;2337;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2337;5692;NUM_PEN;64.0;A;_Z;_Z;_Z
2011;2337;5693;NUM_PEN;21.0;A;_Z;_Z;_Z
2011;2338;5691;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2338;5692;NUM_PEN;90.0;A;_Z;_Z;_Z
2011;2338;5693;NUM_PEN;26.0;A;_Z;_Z;_Z
2011;2339;5691;NUM_PEN;17.0;A;_Z;_Z;_Z
2011;2339;5692;NUM_PEN;342.0;A;_Z;_Z;_Z
2011;2339;5693;NUM_PEN;151.0;A;_Z;_Z;_Z
2011;2339;275092;NUM_PEN;22.0;A;_Z;_Z;_Z
2011;2340;5691;NUM_PEN;93.0;A;_Z;_Z;_Z
2011;2340;5692;NUM_PEN;1007.0;A;_Z;_Z;_Z
2011;2340;5693;NUM_PEN;480.0;A;_Z;_Z;_Z
2011;2340;275092;NUM_PEN;73.0;A;_Z;_Z;_Z
2011;2341;5691;NUM_PEN;172.0;A;_Z;_Z;_Z
2011;2341;5692;NUM_PEN;741.0;A;_Z;_Z;_Z
2011;2341;5693;NUM_PEN;348.0;A;_Z;_Z;_Z
2011;2341;275092;NUM_PEN;68.0;A;_Z;_Z;_Z
2011;2342;5691;NUM_PEN;84.0;A;_Z;_Z;_Z
2011;2342;5692;NUM_PEN;313.0;A;_Z;_Z;_Z
2011;2342;5693;NUM_PEN;178.0;A;_Z;_Z;_Z
2011;2342;275092;NUM_PEN;47.0;A;_Z;_Z;_Z
2011;2343;5691;NUM_PEN;317.0;A;_Z;_Z;_Z
2011;2343;5692;NUM_PEN;1148.0;A;_Z;_Z;_Z
2011;2343;5693;NUM_PEN;640.0;A;_Z;_Z;_Z
2011;2343;275092;NUM_PEN;127.0;A;_Z;_Z;_Z
2011;2344;5691;NUM_PEN;32.0;A;_Z;_Z;_Z
2011;2344;5692;NUM_PEN;297.0;A;_Z;_Z;_Z
2011;2344;5693;NUM_PEN;129.0;A;_Z;_Z;_Z
2011;2344;275092;NUM_PEN;13.0;A;_Z;_Z;_Z
2011;ES612;5691;NUM_PEN;34029.0;A;_Z;_Z;_Z
2011;ES612;5692;NUM_PEN;93437.0;A;_Z;_Z;_Z
2011;ES612;5693;NUM_PEN;53187.0;A;_Z;_Z;_Z
2011;ES612;275092;NUM_PEN;10029.0;A;_Z;_Z;_Z
2011;2353;5691;NUM_PEN;142.0;A;_Z;_Z;_Z
2011;2353;5692;NUM_PEN;434.0;A;_Z;_Z;_Z
2011;2353;5693;NUM_PEN;295.0;A;_Z;_Z;_Z
2011;2353;275092;NUM_PEN;51.0;A;_Z;_Z;_Z
2011;2354;5691;NUM_PEN;273.0;A;_Z;_Z;_Z
2011;2354;5692;NUM_PEN;824.0;A;_Z;_Z;_Z
2011;2354;5693;NUM_PEN;286.0;A;_Z;_Z;_Z
2011;2354;275092;NUM_PEN;28.0;A;_Z;_Z;_Z
