ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES616;2018;PERS_MEDI_NO_REMU;233.16424946;A;_Z;_Z;_Z
A;ES616;2017;PERS_MEDI_NO_REMU;215.85183331;A;_Z;_Z;_Z
A;ES616;2016;PERS_MEDI_NO_REMU;198.42493007;A;_Z;_Z;_Z
A;ES616;2015;PERS_MEDI_NO_REMU;195.44265605;A;_Z;_Z;_Z
A;ES616;2014;PERS_MEDI_NO_REMU;172.54629438;A;_Z;_Z;_Z
A;ES616;2013;PERS_MEDI_NO_REMU;169.79853923;A;_Z;_Z;_Z
A;ES617;2020;PERS_MEDI_NO_REMU;1264.750309854;A;_Z;_Z;_Z
A;ES617;2019;PERS_MEDI_NO_REMU;1447.216060866;A;_Z;_Z;_Z
A;ES617;2018;PERS_MEDI_NO_REMU;1190.7621559;A;_Z;_Z;_Z
A;ES617;2017;PERS_MEDI_NO_REMU;1032.4130236;A;_Z;_Z;_Z
A;ES617;2016;PERS_MEDI_NO_REMU;655.56257204;A;_Z;_Z;_Z
A;ES617;2015;PERS_MEDI_NO_REMU;652.01165696;A;_Z;_Z;_Z
A;ES617;2014;PERS_MEDI_NO_REMU;614.35664652;A;_Z;_Z;_Z
A;ES617;2013;PERS_MEDI_NO_REMU;555.98929331;A;_Z;_Z;_Z
A;ES618;2020;PERS_MEDI_NO_REMU;118.247442593;A;_Z;_Z;_Z
A;ES618;2019;PERS_MEDI_NO_REMU;132.63702611;A;_Z;_Z;_Z
A;ES618;2018;PERS_MEDI_NO_REMU;111.02760699;A;_Z;_Z;_Z
A;ES618;2017;PERS_MEDI_NO_REMU;93.539399005;A;_Z;_Z;_Z
A;ES618;2016;PERS_MEDI_NO_REMU;75.292991605;A;_Z;_Z;_Z
A;ES618;2015;PERS_MEDI_NO_REMU;80.298241523;A;_Z;_Z;_Z
A;ES618;2014;PERS_MEDI_NO_REMU;92.442133131;A;_Z;_Z;_Z
A;ES618;2013;PERS_MEDI_NO_REMU;95.685654231;A;_Z;_Z;_Z
A;ES61;2020;PERS_MEDI_NO_REMU;2145.226081454;A;_Z;_Z;_Z
A;ES61;2019;PERS_MEDI_NO_REMU;2533.845061003;A;_Z;_Z;_Z
A;ES61;2018;PERS_MEDI_NO_REMU;2255.96113614;A;_Z;_Z;_Z
A;ES61;2017;PERS_MEDI_NO_REMU;2043.334296924;A;_Z;_Z;_Z
A;ES61;2016;PERS_MEDI_NO_REMU;1535.503666725;A;_Z;_Z;_Z
A;ES61;2015;PERS_MEDI_NO_REMU;1538.8771047;A;_Z;_Z;_Z
