TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2018;ES614;281605;281486;_T;TOTAL;ASAL_PER;308200.0;A
2018;ES614;281605;281486;M;TOTAL;ASAL_PER;76850.0;A
2018;ES614;281605;281486;F;TOTAL;ASAL_PER;77250.0;A
2018;ES614;281602;281485;_T;TOTAL;ASAL_PER;822700.0;A
2018;ES614;281602;281485;M;TOTAL;ASAL_PER;216700.0;A
2018;ES614;281602;281485;F;TOTAL;ASAL_PER;194650.0;A
2018;ES614;281602;281486;_T;TOTAL;ASAL_PER;822700.0;A
2018;ES614;281602;281486;M;TOTAL;ASAL_PER;216700.0;A
2018;ES614;281602;281486;F;TOTAL;ASAL_PER;194650.0;A
2018;ES615;281603;281485;_T;TOTAL;ASAL_PER;383950.0;A
2018;ES615;281603;281485;M;TOTAL;ASAL_PER;90625.0;A
2018;ES615;281603;281485;F;TOTAL;ASAL_PER;101350.0;A
2018;ES615;281603;281486;_T;TOTAL;ASAL_PER;383950.0;A
2018;ES615;281603;281486;M;TOTAL;ASAL_PER;90625.0;A
2018;ES615;281603;281486;F;TOTAL;ASAL_PER;101350.0;A
2018;ES615;281605;281485;_T;TOTAL;ASAL_PER;219900.0;A
2018;ES615;281605;281485;M;TOTAL;ASAL_PER;58000.0;A
2018;ES615;281605;281485;F;TOTAL;ASAL_PER;51950.0;A
2018;ES615;281605;281486;_T;TOTAL;ASAL_PER;219900.0;A
2018;ES615;281605;281486;M;TOTAL;ASAL_PER;58000.0;A
2018;ES615;281605;281486;F;TOTAL;ASAL_PER;51950.0;A
2018;ES615;281602;281485;_T;TOTAL;ASAL_PER;603850.0;A
2018;ES615;281602;281485;M;TOTAL;ASAL_PER;148625.0;A
2018;ES615;281602;281485;F;TOTAL;ASAL_PER;153300.0;A
2018;ES615;281602;281486;_T;TOTAL;ASAL_PER;603850.0;A
2018;ES615;281602;281486;M;TOTAL;ASAL_PER;148625.0;A
2018;ES615;281602;281486;F;TOTAL;ASAL_PER;153300.0;A
2018;ES616;281603;281485;_T;TOTAL;ASAL_PER;374150.0;A
2018;ES616;281603;281485;M;TOTAL;ASAL_PER;107075.0;A
2018;ES616;281603;281485;F;TOTAL;ASAL_PER;80000.0;A
2018;ES616;281603;281486;_T;TOTAL;ASAL_PER;374150.0;A
2018;ES616;281603;281486;M;TOTAL;ASAL_PER;107075.0;A
2018;ES616;281603;281486;F;TOTAL;ASAL_PER;80000.0;A
2018;ES616;281604;281485;_T;TOTAL;ASAL_PER;39850.0;A
2018;ES616;281604;281485;M;TOTAL;ASAL_PER;10925.0;A
2018;ES616;281604;281485;F;TOTAL;ASAL_PER;9000.0;A
2018;ES616;281604;281486;_T;TOTAL;ASAL_PER;39850.0;A
2018;ES616;281604;281486;M;TOTAL;ASAL_PER;10925.0;A
2018;ES616;281604;281486;F;TOTAL;ASAL_PER;9000.0;A
2018;ES616;281605;281485;_T;TOTAL;ASAL_PER;170900.0;A
2018;ES616;281605;281485;M;TOTAL;ASAL_PER;44050.0;A
2018;ES616;281605;281485;F;TOTAL;ASAL_PER;41400.0;A
2018;ES616;281605;281486;_T;TOTAL;ASAL_PER;170900.0;A
2018;ES616;281605;281486;M;TOTAL;ASAL_PER;44050.0;A
2018;ES616;281605;281486;F;TOTAL;ASAL_PER;41400.0;A
2018;ES616;281602;281485;_T;TOTAL;ASAL_PER;584900.0;A
2018;ES616;281602;281485;M;TOTAL;ASAL_PER;162050.0;A
2018;ES616;281602;281485;F;TOTAL;ASAL_PER;130400.0;A
2018;ES616;281602;281486;_T;TOTAL;ASAL_PER;584900.0;A
2018;ES616;281602;281486;M;TOTAL;ASAL_PER;162050.0;A
2018;ES616;281602;281486;F;TOTAL;ASAL_PER;130400.0;A
2018;ES617;281603;281485;_T;TOTAL;ASAL_PER;287800.0;A
2018;ES617;281603;281485;M;TOTAL;ASAL_PER;79450.0;A
2018;ES617;281603;281485;F;TOTAL;ASAL_PER;64450.0;A
2018;ES617;281603;281486;_T;TOTAL;ASAL_PER;287800.0;A
2018;ES617;281603;281486;M;TOTAL;ASAL_PER;79450.0;A
2018;ES617;281603;281486;F;TOTAL;ASAL_PER;64450.0;A
2018;ES617;281604;281485;_T;TOTAL;ASAL_PER;388100.0;A
2018;ES617;281604;281485;M;TOTAL;ASAL_PER;101150.0;A
2018;ES617;281604;281485;F;TOTAL;ASAL_PER;92900.0;A
