TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ
2019;ES612;5158;DIV;3.06043;A
2019;ES612;5163;DIV;4.36028;A
2019;ES612;5164;DIV;2.18014;A
2019;ES613;5215;DIV;1369.08113;A
2019;ES613;5114;DIV;9.94493;A
2019;ES613;5126;DIV;23.61853;A
2019;ES613;5137;DIV;42.48313;A
2019;ES613;5148;DIV;47.01581;A
2019;ES613;5159;DIV;37.58351;A
2019;ES613;5170;DIV;42.9202;A
2019;ES613;5181;DIV;50.74448;A
2019;ES613;5192;DIV;24.0556;A
2019;ES613;5203;DIV;37.7292;A
2019;ES613;5214;DIV;45.84486;A
2019;ES613;5116;DIV;52.3525;A
2019;ES613;5117;DIV;59.37277;A
2019;ES613;5118;DIV;58.05613;A
2019;ES613;5119;DIV;61.12648;A
2019;ES613;5120;DIV;39.48291;A
2019;ES613;5121;DIV;40.14123;A
2019;ES613;5122;DIV;45.18654;A
2019;ES613;5123;DIV;64.19683;A
2019;ES613;5124;DIV;37.87489;A
2019;ES613;5125;DIV;43.57852;A
2019;ES613;5127;DIV;50.23185;A
2019;ES613;5128;DIV;26.98026;A
2019;ES613;5129;DIV;18.06059;A
2019;ES613;5130;DIV;22.59327;A
2019;ES613;5131;DIV;28.80953;A
2019;ES613;5132;DIV;29.10091;A
2019;ES613;5133;DIV;29.46785;A
2019;ES613;5134;DIV;26.83457;A
