D_ESTADO_DATO_0;D_TERRITORIO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;2482;55564;2014;Viajeros;16870.706884902;A
40123;2482;55564;2015;Viajeros;22070.626083042;A
40123;2482;55564;2016;Viajeros;27482.407577508;A
40123;2482;55564;2017;Viajeros;27799.913100576;A
40123;2482;55564;2018;Viajeros;29282.820489006;A
40123;2482;55564;2019;Viajeros;33240.268119486;A
40123;2482;55564;2020;Viajeros;17550.747628007;A
40123;2482;55543;2014;Viajeros;8208.3326817;A
40123;2482;55543;2015;Viajeros;11433.175843;A
40123;2482;55543;2016;Viajeros;13310.050082;A
40123;2482;55543;2017;Viajeros;9616.9379139;A
40123;2482;55543;2018;Viajeros;10823.182981;A
40123;2482;55543;2019;Viajeros;13272.180223154;A
40123;2482;55543;2020;Viajeros;7970.472758108;A
40123;2482;55563;2014;Viajeros;8662.374203202;A
40123;2482;55563;2015;Viajeros;10637.450240042;A
40123;2482;55563;2016;Viajeros;14172.357495508;A
40123;2482;55563;2017;Viajeros;18182.975186676;A
40123;2482;55563;2018;Viajeros;18459.637508006;A
40123;2482;55563;2019;Viajeros;19968.087896332;A
40123;2482;55563;2020;Viajeros;9580.274869899;A
40123;2482;55545;2014;Viajeros;116.72083333;A
40123;2482;55545;2015;Viajeros;128.28704683;A
40123;2482;55545;2016;Viajeros;366.29269259;A
40123;2482;55545;2017;Viajeros;319.84136673;A
40123;2482;55545;2018;Viajeros;764.90243255;A
40123;2482;55545;2019;Viajeros;649.245970947;A
40123;2482;55545;2020;Viajeros;163.320308949;A
40123;2482;55546;2014;Viajeros;30.016666667;A
40123;2482;55546;2015;Viajeros;47.968137704;A
40123;2482;55546;2016;Viajeros;88.856842967;A
40123;2482;55546;2017;Viajeros;247.49697845;A
40123;2482;55546;2018;Viajeros;114.90630055;A
40123;2482;55546;2019;Viajeros;265.356661813;A
40123;2482;55546;2020;Viajeros;57.819641011;A
40123;2482;55547;2014;Viajeros;127.75818327;A
40123;2482;55547;2015;Viajeros;107.99176478;A
40123;2482;55547;2016;Viajeros;89.142388113;A
40123;2482;55547;2017;Viajeros;216.89255445;A
40123;2482;55547;2018;Viajeros;306.53998854;A
40123;2482;55547;2019;Viajeros;391.965511662;A
40123;2482;55547;2020;Viajeros;99.678228214;A
40123;2482;55548;2014;Viajeros;79.32685074;A
40123;2482;55548;2015;Viajeros;118.79902658;A
40123;2482;55548;2016;Viajeros;283.89326511;A
40123;2482;55548;2017;Viajeros;302.09973556;A
40123;2482;55548;2018;Viajeros;119.31412426;A
40123;2482;55548;2019;Viajeros;639.733162616;A
40123;2482;55548;2020;Viajeros;93.010518271;A
40123;2482;55549;2014;Viajeros;323.4517664;A
40123;2482;55549;2015;Viajeros;376.03009526;A
40123;2482;55549;2016;Viajeros;646.30032766;A
