D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55108;2020;Grado de ocupación por plazas;39.37013466631854;A
40123;55108;2019;Grado de ocupación por plazas;44.43245175262853;A
40123;55108;2018;Grado de ocupación por plazas;42.041640108437605;A
40123;55108;2017;Grado de ocupación por plazas;43.604741351217186;A
40123;55108;2016;Grado de ocupación por plazas;44.756373059952416;A
40123;55108;2015;Grado de ocupación por plazas;38.24923214627849;A
40123;55108;2014;Grado de ocupación por plazas;37.27221919930069;A
40123;55108;2013;Grado de ocupación por plazas;34.29449351704532;A
40123;55108;2011;Grado de ocupación por plazas;30.034588280023872;A
40123;55108;2010;Grado de ocupación por plazas;29.843872065850874;A
40123;55108;2009;Grado de ocupación por plazas;32.26210324805923;A
40123;55108;2008;Grado de ocupación por plazas;34.97373936869031;A
40123;70667;2020;Grado de ocupación por plazas;31.769190931188778;A
40123;70667;2019;Grado de ocupación por plazas;55.96213404528008;A
40123;70667;2018;Grado de ocupación por plazas;58.49845010345726;A
40123;70667;2017;Grado de ocupación por plazas;59.14880322988039;A
40123;70667;2016;Grado de ocupación por plazas;59.344039974045586;A
40123;70667;2015;Grado de ocupación por plazas;52.10181065793066;A
40123;70667;2014;Grado de ocupación por plazas;51.60218936972059;A
40123;70667;2013;Grado de ocupación por plazas;50.451619392597244;A
40123;70667;2012;Grado de ocupación por plazas;48.22486599140297;A
40123;70667;2011;Grado de ocupación por plazas;48.0470506028677;A
40123;70667;2010;Grado de ocupación por plazas;49.75485179377393;A
40123;70667;2009;Grado de ocupación por plazas;47.99424377490324;A
40123;70667;2008;Grado de ocupación por plazas;53.684931226130395;A
40123;269774;2020;Grado de ocupación por plazas;23.009999999997927;A
40123;269774;2019;Grado de ocupación por plazas;46.879717680286284;A
40123;70669;2020;Grado de ocupación por plazas;42.440000000000566;A
40123;70669;2019;Grado de ocupación por plazas;52.53082335943305;A
40123;70669;2018;Grado de ocupación por plazas;54.32360981744624;A
40123;70669;2017;Grado de ocupación por plazas;52.854289970080465;A
40123;70669;2013;Grado de ocupación por plazas;35.90177852607719;A
40123;70669;2012;Grado de ocupación por plazas;29.581935429233415;A
40123;70669;2011;Grado de ocupación por plazas;28.926006233971705;A
40123;70669;2010;Grado de ocupación por plazas;31.8646038616538;A
40123;70669;2009;Grado de ocupación por plazas;35.43672169236113;A
40123;70669;2008;Grado de ocupación por plazas;46.4523665253647;A
40123;70670;2020;Grado de ocupación por plazas;17.702802582784365;A
40123;70670;2019;Grado de ocupación por plazas;29.962844077928942;A
40123;70670;2018;Grado de ocupación por plazas;28.20180879436294;A
40123;70670;2017;Grado de ocupación por plazas;33.06627455578429;A
40123;70670;2016;Grado de ocupación por plazas;24.205957576540335;A
40123;70670;2015;Grado de ocupación por plazas;26.090298322802536;A
40123;70670;2014;Grado de ocupación por plazas;25.11111153357827;A
40123;70670;2013;Grado de ocupación por plazas;22.6924633824911;A
40123;70670;2012;Grado de ocupación por plazas;17.84877821769078;A
40123;70670;2011;Grado de ocupación por plazas;22.765417165771513;A
40123;70670;2009;Grado de ocupación por plazas;19.421416785085587;A
40123;70670;2008;Grado de ocupación por plazas;26.5605007329678;A
40123;55109;2020;Grado de ocupación por plazas;49.23999999997537;A
40123;55109;2019;Grado de ocupación por plazas;52.7168444404234;A
40123;55109;2018;Grado de ocupación por plazas;53.30457998119982;A
40123;55109;2017;Grado de ocupación por plazas;49.60505821614596;A
40123;55109;2016;Grado de ocupación por plazas;48.231844471427266;A
40123;55109;2015;Grado de ocupación por plazas;39.37698419620009;A
40123;55109;2014;Grado de ocupación por plazas;37.162976757794716;A
40123;55109;2013;Grado de ocupación por plazas;34.169392597674054;A
40123;70671;2020;Grado de ocupación por plazas;43.28000000000909;A
40123;70671;2019;Grado de ocupación por plazas;65.30563455207243;A
40123;70671;2018;Grado de ocupación por plazas;60.74206098464927;A
40123;70671;2017;Grado de ocupación por plazas;61.61197093899628;A
40123;70671;2016;Grado de ocupación por plazas;60.49312026596238;A
40123;70671;2015;Grado de ocupación por plazas;61.02369229381589;A
40123;70671;2014;Grado de ocupación por plazas;52.72824520065595;A
40123;70671;2013;Grado de ocupación por plazas;52.366287179691184;A
40123;70671;2012;Grado de ocupación por plazas;51.0440823771219;A
40123;70671;2011;Grado de ocupación por plazas;53.59907670367335;A
40123;70671;2010;Grado de ocupación por plazas;57.16214252852837;A
40123;70671;2008;Grado de ocupación por plazas;55.821578767395714;A
40123;70672;2020;Grado de ocupación por plazas;40.12999999999965;A
40123;70672;2019;Grado de ocupación por plazas;65.86192250635985;A
40123;70672;2018;Grado de ocupación por plazas;65.02091183586168;A
