D_ESTADO_DATO_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;3058;46366;2021;Capital suscrito;;A
40124;3059;46367;2021;Capital suscrito;1578219.27;A
40124;3059;46361;2021;Capital suscrito;;A
40124;3059;46364;2021;Capital suscrito;1578219.27;A
40124;3059;46366;2021;Capital suscrito;;A
40124;3060;46367;2021;Capital suscrito;3000.0;A
40124;3060;46361;2021;Capital suscrito;;A
40124;3060;46364;2021;Capital suscrito;3000.0;A
40124;3060;46366;2021;Capital suscrito;;A
40124;3061;46367;2021;Capital suscrito;248840.0;A
40124;3061;46361;2021;Capital suscrito;;A
40124;3061;46364;2021;Capital suscrito;248840.0;A
