TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ;IPC_GRUPOSESPECIALES
2021-05;ES61;62069;INX;97.258;M;
2021-05;ES61;62070;INX;100.089;M;
2021-05;ES61;62071;INX;98.383;M;
2021-05;ES61;62072;INX;107.89;M;
2021-05;ES61;62073;INX;109.065;M;
2021-05;ES61;62074;INX;99.818;M;
2021-05;ES61;62075;INX;111.663;M;
2021-05;ES61;62076;INX;103.53;M;
2021-05;ES61;62077;INX;98.926;M;
2021-05;ES61;62078;INX;100.339;M;
2021-05;ES61;62079;INX;87.535;M;
2021-05;ES61;62080;INX;109.147;M;
2021-05;ES61;62081;INX;104.009;M;
2021-05;ES61;62082;INX;108.627;M;
2021-05;ES61;62083;INX;108.952;M;
2021-05;ES61;62084;INX;104.459;M;
2021-05;ES61;62085;INX;104.044;M;
2021-05;ES61;62086;INX;95.972;M;
2021-05;ES61;62087;INX;106.438;M;
2021-05;ES61;62088;INX;106.748;M;
2021-06;ES;62032;INX;102.014;M;
2021-06;ES;62033;INX;103.681;M;
2021-06;ES;62034;INX;105.571;M;
2021-06;ES;62035;INX;113.435;M;
2021-06;ES;62036;INX;110.919;M;
2021-06;ES;62037;INX;109.218;M;
2021-06;ES;62038;INX;108.81;M;
2021-06;ES;62039;INX;110.955;M;
2021-06;ES;62040;INX;110.308;M;
2021-06;ES;62041;INX;107.384;M;
2021-06;ES;62042;INX;98.605;M;
2021-06;ES;62043;INX;103.555;M;
2021-06;ES;62044;INX;95.577;M;
2021-06;ES;62045;INX;123.851;M;
2021-06;ES;62046;INX;99.206;M;
2021-06;ES;62047;INX;113.873;M;
2021-06;ES;62048;INX;105.388;M;
2021-06;ES;62049;INX;112.403;M;
2021-06;ES;62050;INX;101.667;M;
2021-06;ES;62051;INX;105.372;M;
2021-06;ES;62052;INX;102.893;M;
2021-06;ES;62053;INX;115.4;M;
2021-06;ES;62054;INX;106.38;M;
2021-06;ES;62055;INX;103.895;M;
2021-06;ES;62056;INX;104.045;M;
2021-06;ES;62057;INX;112.864;M;
2021-06;ES;62058;INX;116.055;M;
2021-06;ES;62059;INX;105.7;M;
2021-06;ES;62060;INX;108.162;M;
2021-06;ES;62061;INX;108.969;M;
2021-06;ES;62062;INX;104.131;M;
2021-06;ES;62063;INX;108.663;M;
2021-06;ES;62064;INX;105.016;M;
2021-06;ES;62065;INX;117.325;M;
2021-06;ES;62066;INX;104.279;M;
2021-06;ES;62067;INX;104.327;M;
2021-06;ES;62068;INX;99.497;M;
2021-06;ES;62069;INX;97.233;M;
2021-06;ES;62070;INX;100.137;M;
2021-06;ES;62071;INX;99.978;M;
2021-06;ES;62072;INX;109.61;M;
2021-06;ES;62073;INX;108.591;M;
2021-06;ES;62074;INX;100.465;M;
2021-06;ES;62075;INX;113.615;M;
2021-06;ES;62076;INX;102.471;M;
2021-06;ES;62077;INX;94.686;M;
2021-06;ES;62078;INX;100.219;M;
2021-06;ES;62079;INX;89.114;M;
2021-06;ES;62080;INX;109.714;M;
2021-06;ES;62081;INX;102.985;M;
2021-06;ES;62082;INX;106.361;M;
2021-06;ES;62083;INX;108.269;M;
2021-06;ES;62084;INX;99.313;M;
2021-06;ES;62085;INX;106.091;M;
2021-06;ES;62086;INX;97.517;M;
2021-06;ES;62087;INX;107.089;M;
2021-06;ES;62088;INX;107.512;M;
2021-06;ES61;62032;INX;102.287;M;
2021-06;ES61;62033;INX;101.397;M;
2021-06;ES61;62034;INX;105.25;M;
2021-06;ES61;62035;INX;112.251;M;
2021-06;ES61;62036;INX;109.824;M;
2021-06;ES61;62037;INX;111.662;M;
