TERRITORIO;SECC_CNAE09;OBS_STATUS;TEMPORAL;MACROMAG_CPA;INDICATOR;OBS_VALUE;FREQ
ES611;273781;A;2013;273769;NR;4921.0;A
ES611;273781;A;2013;273770;NR;195138.0;A
ES611;273781;A;2013;273771;NR;8731.0;A
ES611;273781;A;2013;273772;NR;7692.0;A
ES611;273781;A;2013;273773;NR;1039.0;A
ES611;273781;A;2014;273760;NR;1545794.0;A
ES611;273781;A;2014;273761;NR;1111919.0;A
ES611;273781;A;2014;273762;NR;433875.0;A
ES611;273781;A;2014;273765;NR;92.932059305;A
ES611;273781;A;2014;273768;NR;224222.0;A
ES611;273781;A;2014;273769;NR;5831.0;A
ES611;273781;A;2014;273770;NR;203822.0;A
ES611;273781;A;2014;273771;NR;8636.0;A
ES611;273781;A;2014;273772;NR;7494.0;A
ES611;273781;A;2014;273773;NR;1142.0;A
ES611;273781;A;2015;273760;NR;1759158.0;A
ES611;273781;A;2015;273761;NR;1291629.0;A
ES611;273781;A;2015;273762;NR;467529.0;A
ES611;273781;A;2015;273765;NR;100.0;A
ES611;273781;A;2015;273768;NR;250414.0;A
ES611;273781;A;2015;273769;NR;5144.0;A
ES611;273781;A;2015;273770;NR;211971.0;A
ES611;273781;A;2015;273771;NR;9477.0;A
ES611;273781;A;2015;273772;NR;8276.0;A
ES611;273781;A;2015;273773;NR;1201.0;A
ES611;273781;A;2016;273760;NR;2033184.0;A
ES611;273781;A;2016;273761;NR;1521493.0;A
ES611;273781;A;2016;273762;NR;511691.0;A
ES611;273781;A;2016;273765;NR;109.016190613;A
ES611;273781;A;2016;273768;NR;282026.0;A
ES611;273781;A;2016;273769;NR;4491.0;A
ES611;273781;A;2016;273770;NR;225174.0;A
ES611;273781;A;2016;273771;NR;10311.0;A
ES611;273781;A;2016;273772;NR;9148.0;A
ES611;273781;A;2016;273773;NR;1163.0;A
ES611;273781;A;2017;273760;NR;1795548.0;A
ES611;273781;A;2017;273761;NR;1296673.0;A
ES611;273781;A;2017;273762;NR;498875.0;A
ES611;273781;A;2017;273765;NR;106.13785497;A
ES611;273781;A;2017;273768;NR;258518.0;A
ES611;273781;A;2017;273769;NR;5311.0;A
ES611;273781;A;2017;273770;NR;235046.0;A
ES611;273781;A;2017;273771;NR;9898.0;A
ES611;273781;A;2017;273772;NR;8748.0;A
ES611;273781;A;2017;273773;NR;1150.0;A
ES611;273781;A;2018;273760;NR;1898661.0;A
ES611;273781;A;2018;273761;NR;1375861.0;A
ES611;273781;A;2018;273762;NR;522800.0;A
ES611;273781;A;2018;273765;NR;110.540815699;A
ES611;273781;A;2018;273768;NR;290565.0;A
ES611;273781;A;2018;273769;NR;5071.0;A
ES611;273781;A;2018;273770;NR;227164.0;A
ES611;273781;A;2018;273771;NR;10672.0;A
ES611;273781;A;2018;273772;NR;9539.0;A
ES611;273781;A;2018;273773;NR;1133.0;A
ES611;273781;P;2019;273760;NR;2287236.0;A
ES611;273781;P;2019;273761;NR;1666185.0;A
ES611;273781;P;2019;273762;NR;621051.0;A
ES611;273781;P;2019;273765;NR;130.972571862;A
ES611;273781;P;2019;273768;NR;325564.0;A
ES611;273781;P;2019;273769;NR;5481.0;A
