LUG_DEF;MES;D_G102_0;SEXO;TIME_PERIOD;REF_AREA;INDICATOR;OBS_VALUE;FREQ;EDAD;CIE10;G102_OTRAS_CAUSAS
838405;55920;838410;_T;2020;ES61;DEATHS;4800.0;A;_Z;_Z;_Z
838405;55920;838411;M;2020;ES61;DEATHS;204.0;A;_Z;_Z;_Z
838405;55920;838411;F;2020;ES61;DEATHS;177.0;A;_Z;_Z;_Z
838405;55920;838411;_T;2020;ES61;DEATHS;381.0;A;_Z;_Z;_Z
838405;55920;57731;M;2020;ES61;DEATHS;18547.0;A;_Z;_Z;_Z
838405;55920;57731;F;2020;ES61;DEATHS;16206.0;A;_Z;_Z;_Z
838405;55920;57731;_T;2020;ES61;DEATHS;34753.0;A;_Z;_Z;_Z
838405;55920;;M;2020;ES61;DEATHS;21510.0;A;_Z;_Z;_Z
838405;55920;;F;2020;ES61;DEATHS;18424.0;A;_Z;_Z;_Z
838405;55920;;_T;2020;ES61;DEATHS;39934.0;A;_Z;_Z;_Z
838406;55908;838410;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838406;55908;838410;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838406;55908;838410;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838406;55908;838411;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838406;55908;838411;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838406;55908;838411;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838406;55908;57731;M;2020;ES61;DEATHS;250.0;A;_Z;_Z;_Z
838406;55908;57731;F;2020;ES61;DEATHS;409.0;A;_Z;_Z;_Z
838406;55908;57731;_T;2020;ES61;DEATHS;659.0;A;_Z;_Z;_Z
