TEMPORAL;NACIONALIDAD;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2021;OTHER_SPAIN;ES614;F;Y40-44;HAB;3431.0;A
2021;OTHER_SPAIN;ES614;F;Y45-49;HAB;2700.0;A
2021;OTHER_SPAIN;ES614;F;Y50-54;HAB;2234.0;A
2021;OTHER_SPAIN;ES614;F;Y55-59;HAB;1694.0;A
2021;OTHER_SPAIN;ES614;F;Y60-64;HAB;1318.0;A
2021;OTHER_SPAIN;ES614;F;Y65-69;HAB;1108.0;A
2021;OTHER_SPAIN;ES614;F;Y70-74;HAB;813.0;A
2021;OTHER_SPAIN;ES614;F;Y75-79;HAB;444.0;A
2021;OTHER_SPAIN;ES614;F;Y80-84;HAB;253.0;A
2021;OTHER_SPAIN;ES614;F;Y85-89;HAB;95.0;A
2021;OTHER_SPAIN;ES614;F;Y90-94;HAB;42.0;A
2021;OTHER_SPAIN;ES614;F;Y95-99;HAB;8.0;A
2021;OTHER_SPAIN;ES615;_T;TOTAL;HAB;48304.0;A
2021;OTHER_SPAIN;ES615;_T;Y1-4;HAB;2514.0;A
2021;OTHER_SPAIN;ES615;_T;Y5-9;HAB;1886.0;A
2021;OTHER_SPAIN;ES615;_T;Y10-14;HAB;1699.0;A
2021;OTHER_SPAIN;ES615;_T;Y15-19;HAB;1957.0;A
2021;OTHER_SPAIN;ES615;_T;Y20-24;HAB;3122.0;A
2021;OTHER_SPAIN;ES615;_T;Y25-29;HAB;4333.0;A
2021;OTHER_SPAIN;ES615;_T;Y30-34;HAB;5525.0;A
2021;OTHER_SPAIN;ES615;_T;Y35-39;HAB;6274.0;A
2021;OTHER_SPAIN;ES615;_T;Y40-44;HAB;6704.0;A
2021;OTHER_SPAIN;ES615;_T;Y45-49;HAB;5186.0;A
2021;OTHER_SPAIN;ES615;_T;Y50-54;HAB;3798.0;A
2021;OTHER_SPAIN;ES615;_T;Y55-59;HAB;2123.0;A
2021;OTHER_SPAIN;ES615;_T;Y60-64;HAB;1297.0;A
2021;OTHER_SPAIN;ES615;_T;Y65-69;HAB;805.0;A
2021;OTHER_SPAIN;ES615;_T;Y70-74;HAB;501.0;A
2021;OTHER_SPAIN;ES615;_T;Y75-79;HAB;300.0;A
2021;OTHER_SPAIN;ES615;_T;Y80-84;HAB;173.0;A
2021;OTHER_SPAIN;ES615;_T;Y85-89;HAB;71.0;A
2021;OTHER_SPAIN;ES615;_T;Y90-94;HAB;28.0;A
2021;OTHER_SPAIN;ES615;_T;Y95-99;HAB;7.0;A
2021;OTHER_SPAIN;ES615;_T;Y_GE100;HAB;1.0;A
2021;OTHER_SPAIN;ES615;M;TOTAL;HAB;23561.0;A
2021;OTHER_SPAIN;ES615;M;Y1-4;HAB;1340.0;A
2021;OTHER_SPAIN;ES615;M;Y5-9;HAB;972.0;A
2021;OTHER_SPAIN;ES615;M;Y10-14;HAB;897.0;A
2021;OTHER_SPAIN;ES615;M;Y15-19;HAB;1134.0;A
2021;OTHER_SPAIN;ES615;M;Y20-24;HAB;1790.0;A
2021;OTHER_SPAIN;ES615;M;Y25-29;HAB;2355.0;A
2021;OTHER_SPAIN;ES615;M;Y30-34;HAB;2725.0;A
2021;OTHER_SPAIN;ES615;M;Y35-39;HAB;3063.0;A
2021;OTHER_SPAIN;ES615;M;Y40-44;HAB;3135.0;A
2021;OTHER_SPAIN;ES615;M;Y45-49;HAB;2198.0;A
2021;OTHER_SPAIN;ES615;M;Y50-54;HAB;1437.0;A
2021;OTHER_SPAIN;ES615;M;Y55-59;HAB;912.0;A
2021;OTHER_SPAIN;ES615;M;Y60-64;HAB;615.0;A
2021;OTHER_SPAIN;ES615;M;Y65-69;HAB;424.0;A
2021;OTHER_SPAIN;ES615;M;Y70-74;HAB;263.0;A
2021;OTHER_SPAIN;ES615;M;Y75-79;HAB;159.0;A
2021;OTHER_SPAIN;ES615;M;Y80-84;HAB;96.0;A
2021;OTHER_SPAIN;ES615;M;Y85-89;HAB;34.0;A
2021;OTHER_SPAIN;ES615;M;Y90-94;HAB;8.0;A
2021;OTHER_SPAIN;ES615;M;Y95-99;HAB;4.0;A
2021;OTHER_SPAIN;ES615;F;TOTAL;HAB;24743.0;A
2021;OTHER_SPAIN;ES615;F;Y1-4;HAB;1174.0;A
2021;OTHER_SPAIN;ES615;F;Y5-9;HAB;914.0;A
