TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2497;53855;F;HAB;32.0;A
2021;TOTAL;2497;53933;_T;HAB;54.0;A
2021;TOTAL;2497;53933;M;HAB;30.0;A
2021;TOTAL;2497;53933;F;HAB;24.0;A
2021;TOTAL;2497;54155;_T;HAB;7631.0;A
2021;TOTAL;2497;54155;M;HAB;3905.0;A
2021;TOTAL;2497;54155;F;HAB;3726.0;A
2021;TOTAL;2497;54236;_T;HAB;16.0;A
2021;TOTAL;2497;54236;M;HAB;8.0;A
2021;TOTAL;2497;54236;F;HAB;8.0;A
2021;TOTAL;2497;54344;_T;HAB;186.0;A
2021;TOTAL;2497;54344;M;HAB;84.0;A
2021;TOTAL;2497;54344;F;HAB;102.0;A
2021;TOTAL;2497;54452;_T;HAB;104.0;A
2021;TOTAL;2497;54452;M;HAB;52.0;A
2021;TOTAL;2497;54452;F;HAB;52.0;A
2021;TOTAL;2497;54559;_T;HAB;65.0;A
2021;TOTAL;2497;54559;M;HAB;32.0;A
2021;TOTAL;2497;54559;F;HAB;33.0;A
2021;TOTAL;2497;54565;_T;HAB;725.0;A
2021;TOTAL;2497;54565;M;HAB;376.0;A
2021;TOTAL;2497;54565;F;HAB;349.0;A
2021;TOTAL;2497;54887;_T;HAB;743.0;A
2021;TOTAL;2497;54887;M;HAB;343.0;A
2021;TOTAL;2497;54887;F;HAB;400.0;A
2021;TOTAL;2498;54888;_T;HAB;468.0;A
2021;TOTAL;2498;54888;M;HAB;233.0;A
2021;TOTAL;2498;54888;F;HAB;235.0;A
2021;TOTAL;2498;53700;_T;HAB;463.0;A
2021;TOTAL;2498;53700;M;HAB;231.0;A
2021;TOTAL;2498;53700;F;HAB;232.0;A
2021;TOTAL;2498;54560;_T;HAB;449.0;A
2021;TOTAL;2498;54560;M;HAB;221.0;A
2021;TOTAL;2498;54560;F;HAB;228.0;A
2021;TOTAL;2498;53809;_T;HAB;4.0;A
2021;TOTAL;2498;53809;M;HAB;1.0;A
2021;TOTAL;2498;53809;F;HAB;3.0;A
2021;TOTAL;2498;53933;_T;HAB;1.0;A
2021;TOTAL;2498;53933;F;HAB;1.0;A
2021;TOTAL;2498;54155;_T;HAB;411.0;A
