MACROECO,TIME_PERIOD,OBS_STATUS,REF_AREA,INDICATOR,OBS_VALUE,FREQ,CNAE_CRA_NEW
93074,2012,A,3143,TAS_INTER_PREC_CORR,-5.964562653,A,_Z
93074,2011,A,3143,TAS_INTER_PREC_CORR,0.627105404,A,_Z
93074,2010,A,3143,TAS_INTER_PREC_CORR,-0.223473807,A,_Z
93074,2009,A,3143,TAS_INTER_PREC_CORR,1.691710559,A,_Z
93074,2008,A,3143,TAS_INTER_PREC_CORR,2.970919176,A,_Z
93074,2007,A,3143,TAS_INTER_PREC_CORR,8.898554396,A,_Z
93075,2021,1E,3143,TAS_INTER_PREC_CORR,5.475971601,A,_Z
93075,2020,AV,3143,TAS_INTER_PREC_CORR,3.183063903,A,_Z
93075,2019,P,3143,TAS_INTER_PREC_CORR,4.127057432,A,_Z
93075,2018,A,3143,TAS_INTER_PREC_CORR,3.369328862,A,_Z
93075,2017,A,3143,TAS_INTER_PREC_CORR,2.439321088,A,_Z
93075,2016,A,3143,TAS_INTER_PREC_CORR,2.705822134,A,_Z
93075,2015,A,3143,TAS_INTER_PREC_CORR,3.659854433,A,_Z
93075,2014,A,3143,TAS_INTER_PREC_CORR,-0.281896196,A,_Z
93075,2013,A,3143,TAS_INTER_PREC_CORR,-0.462520874,A,_Z
93075,2012,A,3143,TAS_INTER_PREC_CORR,-4.480879516,A,_Z
93075,2011,A,3143,TAS_INTER_PREC_CORR,0.497342913,A,_Z
93075,2010,A,3143,TAS_INTER_PREC_CORR,0.724575248,A,_Z
93075,2009,A,3143,TAS_INTER_PREC_CORR,5.804267369,A,_Z
93075,2008,A,3143,TAS_INTER_PREC_CORR,8.449126714,A,_Z
93075,2007,A,3143,TAS_INTER_PREC_CORR,8.536424375,A,_Z
93076,2021,1E,3143,TAS_INTER_PREC_CORR,-1.868142814,A,_Z
93076,2020,AV,3143,TAS_INTER_PREC_CORR,-22.428114954,A,_Z
93076,2019,P,3143,TAS_INTER_PREC_CORR,4.351248698,A,_Z
93076,2018,A,3143,TAS_INTER_PREC_CORR,2.730546865,A,_Z
93076,2017,A,3143,TAS_INTER_PREC_CORR,4.55629346,A,_Z
93076,2016,A,3143,TAS_INTER_PREC_CORR,1.760763073,A,_Z
93076,2015,A,3143,TAS_INTER_PREC_CORR,3.620772789,A,_Z
93076,2014,A,3143,TAS_INTER_PREC_CORR,0.780569802,A,_Z
93076,2013,A,3143,TAS_INTER_PREC_CORR,-2.301001863,A,_Z
93076,2012,A,3143,TAS_INTER_PREC_CORR,-2.232396872,A,_Z
93076,2011,A,3143,TAS_INTER_PREC_CORR,1.330078586,A,_Z
