TIME_PERIOD,REF_AREA,ESTADO_CIVIL,D_ESTADOCIVILC2_0,INDICATOR,OBS_VALUE,FREQ
2017,ES617,,,DIV,116.1681,A
2017,ES617,,,DIV,11.5695,A
2017,ES617,,,DIV,11.5695,A
2017,ES617,,,DIV,296.2809,A
2017,ES617,,,DIV,182.2017,A
2017,ES617,,,DIV,6.0972,A
2017,ES617,,,DIV,107.982,A
2017,ES618,TOTAL,,DIV,4318.3766,A
2017,ES618,TOTAL,,DIV,4039.0622,A
2017,ES618,TOTAL,,DIV,16.1129,A
2017,ES618,TOTAL,,DIV,263.2015,A
2017,ES618,,,DIV,4000.9573,A
2017,ES618,,,DIV,3851.7364,A
2017,ES618,,,DIV,8.7437,A
2017,ES618,,,DIV,140.4772,A
2017,ES618,,,DIV,26.2311,A
2017,ES618,,,DIV,14.7384,A
2017,ES618,,,DIV,2.749,A
2017,ES618,,,DIV,8.7437,A
2017,ES618,,,DIV,291.1882,A
2017,ES618,,,DIV,172.5874,A
2017,ES618,,,DIV,4.6202,A
2017,ES618,,,DIV,113.9806,A
2016,ES61,TOTAL,,DIV,16968.2676,A
2016,ES61,TOTAL,,DIV,15989.3038,A
2016,ES61,TOTAL,,DIV,59.3759,A
2016,ES61,TOTAL,,DIV,919.5879,A
2016,ES61,,,DIV,15863.1649,A
2016,ES61,,,DIV,15300.9074,A
2016,ES61,,,DIV,36.5515,A
2016,ES61,,,DIV,525.706,A
2016,ES61,,,DIV,112.202,A
2016,ES61,,,DIV,67.972,A
2016,ES61,,,DIV,8.1646,A
2016,ES61,,,DIV,36.0654,A
2016,ES61,,,DIV,992.9007,A
2016,ES61,,,DIV,620.4244,A
2016,ES61,,,DIV,14.6598,A
2016,ES61,,,DIV,357.8165,A
2016,ES611,TOTAL,,DIV,1425.5804,A
2016,ES611,TOTAL,,DIV,1310.1884,A
2016,ES611,TOTAL,,DIV,2.6598,A
2016,ES611,TOTAL,,DIV,112.7322,A
2016,ES611,,,DIV,1321.8276,A
2016,ES611,,,DIV,1245.6728,A
2016,ES611,,,DIV,1.3299,A
2016,ES611,,,DIV,74.8249,A
2016,ES611,,,DIV,7.6495,A
2016,ES611,,,DIV,3.6598,A
2016,ES611,,,DIV,3.9897,A
2016,ES611,,,DIV,96.1033,A
2016,ES611,,,DIV,60.8558,A
2016,ES611,,,DIV,1.3299,A
2016,ES611,,,DIV,33.9176,A
2016,ES612,TOTAL,,DIV,2275.825,A
2016,ES612,TOTAL,,DIV,2152.463,A
2016,ES612,TOTAL,,DIV,6.7298,A
2016,ES612,TOTAL,,DIV,116.6322,A
2016,ES612,,,DIV,2150.0034,A
2016,ES612,,,DIV,2076.9394,A
2016,ES612,,,DIV,5.1532,A
2016,ES612,,,DIV,67.9108,A
2016,ES612,,,DIV,14.1894,A
2016,ES612,,,DIV,4.7298,A
2016,ES612,,,DIV,9.4596,A
2016,ES612,,,DIV,111.6322,A
2016,ES612,,,DIV,70.7938,A
