TEMPORAL;SEXO;EDAD;CNED2014;NIVEL;RELACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2016;_T;Y15-29;61285;46593;48939;ES61;TASA_DE_PARO;100.0;M
2016;_T;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;67.32087191657834;M
2016;_T;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;61.411483440539016;M
2016;_T;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;57.24865409481173;M
2016;_T;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;45.10651582127086;M
2016;_T;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;57.93737977272492;M
2016;_T;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;72.96551096964873;M
2016;_T;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;45.453220192230845;M
2016;_T;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;34.657312936492;M
2016;_T;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;27.403519709978646;M
2016;_T;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;25.79265976958778;M
2016;_T;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;31.03808491086984;M
2016;_T;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;27.55218711869168;M
2016;_T;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;37.889688418631835;M
2016;_T;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;34.11220917265238;M
