TEMPORAL;SEXO;EDAD;RELACTIVIDAD;NIVEL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;M;Y45-54;48946;46593;ES61;POP;63.26772;M
2007;M;Y45-64;48952;46593;ES61;POP;386.17626;M
2007;M;Y45-64;48934;46593;ES61;POP;5.3051375;M
2007;M;Y45-64;48936;46593;ES61;POP;197.8833325;M
2007;M;Y45-64;48939;46593;ES61;POP;19.860005;M
2007;M;Y45-64;48940;46593;ES61;POP;217.7433375;M
2007;M;Y45-64;48946;46593;ES61;POP;168.4329225;M
2007;M;Y65-100;48952;46593;ES61;POP;488.1810725;M
2007;M;Y65-100;48934;46593;ES61;POP;0.418355;M
2007;M;Y65-100;48936;46593;ES61;POP;12.272315;M
2007;M;Y65-100;48939;46593;ES61;POP;0.24976;M
2007;M;Y65-100;48940;46593;ES61;POP;12.522075;M
2007;M;Y65-100;48946;46593;ES61;POP;475.6589975;M
2007;M;TOTAL;48952;46593;ES61;POP;3235.23503;M
2007;M;TOTAL;48934;46593;ES61;POP;113.7773725;M
2007;M;TOTAL;48936;46593;ES61;POP;1989.754155;M
2007;M;TOTAL;48937;46593;ES61;POP;17.3742625;M
2007;M;TOTAL;48939;46593;ES61;POP;210.2070625;M
2007;M;TOTAL;48940;46593;ES61;POP;2199.9612175;M
2007;M;TOTAL;48946;46593;ES61;POP;1035.2738125;M
2007;F;Y15-29;48952;46593;ES61;POP;459.3140675;M
2007;F;Y15-29;48934;46593;ES61;POP;25.8268975;M
2007;F;Y15-29;48936;46593;ES61;POP;156.814465;M
2007;F;Y15-29;48937;46593;ES61;POP;20.5203425;M
2007;F;Y15-29;48939;46593;ES61;POP;60.721025;M
2007;F;Y15-29;48940;46593;ES61;POP;217.53549;M
2007;F;Y15-29;48946;46593;ES61;POP;241.7785775;M
2007;F;Y25-34;48952;46593;ES61;POP;661.1291325;M
2007;F;Y25-34;48934;46593;ES61;POP;47.6734;M
2007;F;Y25-34;48936;46593;ES61;POP;404.76413;M
2007;F;Y25-34;48937;46593;ES61;POP;6.49881;M
2007;F;Y25-34;48939;46593;ES61;POP;80.6980625;M
2007;F;Y25-34;48940;46593;ES61;POP;485.4621925;M
2007;F;Y25-34;48946;46593;ES61;POP;175.66694;M
2007;F;Y30-44;48952;46593;ES61;POP;651.0346675;M
2007;F;Y30-44;48934;46593;ES61;POP;38.827475;M
2007;F;Y30-44;48936;46593;ES61;POP;354.76888;M
2007;F;Y30-44;48937;46593;ES61;POP;3.0074925;M
2007;F;Y30-44;48939;46593;ES61;POP;65.16695;M
2007;F;Y30-44;48940;46593;ES61;POP;419.93583;M
2007;F;Y30-44;48946;46593;ES61;POP;231.0988375;M
2007;F;Y45-54;48952;46593;ES61;POP;519.01388;M
2007;F;Y45-54;48934;46593;ES61;POP;21.16075;M
2007;F;Y45-54;48936;46593;ES61;POP;243.24904;M
2007;F;Y45-54;48937;46593;ES61;POP;2.3907775;M
2007;F;Y45-54;48939;46593;ES61;POP;41.945395;M
2007;F;Y45-54;48940;46593;ES61;POP;285.194435;M
2007;F;Y45-54;48946;46593;ES61;POP;233.819445;M
2007;F;Y45-64;48952;46593;ES61;POP;404.73539;M
2007;F;Y45-64;48934;46593;ES61;POP;4.01588;M
2007;F;Y45-64;48936;46593;ES61;POP;84.5919225;M
2007;F;Y45-64;48937;46593;ES61;POP;0.66578;M
2007;F;Y45-64;48939;46593;ES61;POP;14.6543125;M
2007;F;Y45-64;48940;46593;ES61;POP;99.246235;M
2007;F;Y45-64;48946;46593;ES61;POP;305.489155;M
2007;F;Y65-100;48952;46593;ES61;POP;651.8559675;M
2007;F;Y65-100;48936;46593;ES61;POP;4.6790025;M
2007;F;Y65-100;48939;46593;ES61;POP;0.1461125;M
2007;F;Y65-100;48940;46593;ES61;POP;4.825115;M
2007;F;Y65-100;48946;46593;ES61;POP;647.0308525;M
2007;F;TOTAL;48952;46593;ES61;POP;3347.083105;M
2007;F;TOTAL;48934;46593;ES61;POP;137.5044025;M
2007;F;TOTAL;48936;46593;ES61;POP;1248.86744;M
2007;F;TOTAL;48937;46593;ES61;POP;33.0832025;M
2007;F;TOTAL;48939;46593;ES61;POP;263.3318575;M
2007;F;TOTAL;48940;46593;ES61;POP;1512.1992975;M
2007;F;TOTAL;48946;46593;ES61;POP;1834.8838075;M
2007;_T;Y15-29;48952;46593;ES61;POP;942.6525325;M
