TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2018;6727;M;ES61;ASALARIADOS;1390.12111;M
2018;6727;F;ES61;ASALARIADOS;1121.624685;M
2018;6727;_T;ES61;ASALARIADOS;2511.745795;M
2019;6038;M;ES61;ASALARIADOS;27.85182;M
2019;6038;F;ES61;ASALARIADOS;16.90204;M
2019;6038;_T;ES61;ASALARIADOS;44.75386;M
2019;6203;M;ES61;ASALARIADOS;177.25115;M
2019;6203;F;ES61;ASALARIADOS;231.3529675;M
2019;6203;_T;ES61;ASALARIADOS;408.6041175;M
2019;6333;M;ES61;ASALARIADOS;140.65145;M
2019;6333;F;ES61;ASALARIADOS;89.143955;M
2019;6333;_T;ES61;ASALARIADOS;229.795405;M
2019;6375;M;ES61;ASALARIADOS;94.0623525;M
2019;6375;F;ES61;ASALARIADOS;161.95543;M
2019;6375;_T;ES61;ASALARIADOS;256.0177825;M
2019;6463;M;ES61;ASALARIADOS;253.6381775;M
2019;6463;F;ES61;ASALARIADOS;363.3609075;M
2019;6463;_T;ES61;ASALARIADOS;616.999085;M
2019;6489;M;ES61;ASALARIADOS;28.36346;M
2019;6489;F;ES61;ASALARIADOS;1.436445;M
2019;6489;_T;ES61;ASALARIADOS;29.799905;M
2019;6601;M;ES61;ASALARIADOS;253.8896025;M
2019;6601;F;ES61;ASALARIADOS;24.5651775;M
2019;6601;_T;ES61;ASALARIADOS;278.45478;M
2019;6667;M;ES61;ASALARIADOS;172.1420125;M
2019;6667;F;ES61;ASALARIADOS;15.2451275;M
2019;6667;_T;ES61;ASALARIADOS;187.38714;M
2019;6726;M;ES61;ASALARIADOS;244.34586;M
2019;6726;F;ES61;ASALARIADOS;255.342395;M
2019;6726;_T;ES61;ASALARIADOS;499.688255;M
2019;5989;M;ES61;ASALARIADOS;25.6247275;M
2019;5989;F;ES61;ASALARIADOS;2.32086;M
2019;5989;_T;ES61;ASALARIADOS;27.9455875;M
2019;6727;M;ES61;ASALARIADOS;1417.8206125;M
2019;6727;F;ES61;ASALARIADOS;1161.625305;M
2019;6727;_T;ES61;ASALARIADOS;2579.4459175;M
2020;6038;M;ES61;ASALARIADOS;26.612145;M
2020;6038;F;ES61;ASALARIADOS;16.28512;M
2020;6038;_T;ES61;ASALARIADOS;42.897265;M
2020;6203;M;ES61;ASALARIADOS;171.30891;M
2020;6203;F;ES61;ASALARIADOS;238.1111325;M
2020;6203;_T;ES61;ASALARIADOS;409.4200425;M
2020;6333;M;ES61;ASALARIADOS;138.96092;M
2020;6333;F;ES61;ASALARIADOS;92.2780475;M
2020;6333;_T;ES61;ASALARIADOS;231.2389675;M
2020;6375;M;ES61;ASALARIADOS;95.876025;M
2020;6375;F;ES61;ASALARIADOS;153.4234775;M
2020;6375;_T;ES61;ASALARIADOS;249.2995025;M
2020;6463;M;ES61;ASALARIADOS;237.3870425;M
2020;6463;F;ES61;ASALARIADOS;312.0598725;M
2020;6463;_T;ES61;ASALARIADOS;549.446915;M
2020;6489;M;ES61;ASALARIADOS;29.1059925;M
2020;6489;F;ES61;ASALARIADOS;0.8313925;M
2020;6489;_T;ES61;ASALARIADOS;29.937385;M
2020;6601;M;ES61;ASALARIADOS;247.5078;M
2020;6601;F;ES61;ASALARIADOS;26.035095;M
2020;6601;_T;ES61;ASALARIADOS;273.542895;M
2020;6667;M;ES61;ASALARIADOS;163.772835;M
2020;6667;F;ES61;ASALARIADOS;15.9965075;M
2020;6667;_T;ES61;ASALARIADOS;179.7693425;M
2020;6726;M;ES61;ASALARIADOS;242.660985;M
2020;6726;F;ES61;ASALARIADOS;236.7778875;M
2020;6726;_T;ES61;ASALARIADOS;479.4388725;M
2020;5989;M;ES61;ASALARIADOS;21.7586125;M
2020;5989;F;ES61;ASALARIADOS;2.6551225;M
2020;5989;_T;ES61;ASALARIADOS;24.413735;M
2020;6727;M;ES61;ASALARIADOS;1374.9512675;M
2020;6727;F;ES61;ASALARIADOS;1094.453655;M
2020;6727;_T;ES61;ASALARIADOS;2469.4049225;M
2021;6038;M;ES61;ASALARIADOS;32.008885;M
2021;6038;F;ES61;ASALARIADOS;19.09557;M
2021;6038;_T;ES61;ASALARIADOS;51.104455;M
2021;6203;M;ES61;ASALARIADOS;186.7027575;M
2021;6203;F;ES61;ASALARIADOS;265.4252125;M
2021;6203;_T;ES61;ASALARIADOS;452.12797;M
2021;6333;M;ES61;ASALARIADOS;171.4530275;M
2021;6333;F;ES61;ASALARIADOS;111.338435;M
