TEMPORAL;SEXO;EDAD;CLASEINACTIV;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;M;Y65-100;47520;ES61;INACTIVOS;0.8977275;M
2008;M;Y65-100;47522;ES61;INACTIVOS;0.270655;M
2008;M;Y65-100;47523;ES61;INACTIVOS;487.84187;M
2008;M;TOTAL;47511;ES61;INACTIVOS;208.7558125;M
2008;M;TOTAL;47512;ES61;INACTIVOS;573.1124125;M
2008;M;TOTAL;47517;ES61;INACTIVOS;54.6985475;M
2008;M;TOTAL;47513;ES61;INACTIVOS;99.539965;M
2008;M;TOTAL;47514;ES61;INACTIVOS;33.7401925;M
2008;M;TOTAL;47520;ES61;INACTIVOS;53.8200225;M
2008;M;TOTAL;47522;ES61;INACTIVOS;16.1618;M
2008;M;TOTAL;47523;ES61;INACTIVOS;1039.8287525;M
2008;F;Y15-29;47511;ES61;INACTIVOS;194.731955;M
2008;F;Y15-29;47517;ES61;INACTIVOS;30.5565575;M
2008;F;Y15-29;47513;ES61;INACTIVOS;3.24031;M
2008;F;Y15-29;47514;ES61;INACTIVOS;1.1694825;M
2008;F;Y15-29;47520;ES61;INACTIVOS;3.649465;M
2008;F;Y15-29;47522;ES61;INACTIVOS;1.7928325;M
