TEMPORAL;SEXO;NACIONALIDAD;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2012;F;46944;Y45-64;ES61;ACTIVOS;583.71296;M
2012;F;46944;Y65-100;ES61;ACTIVOS;6.2988;M
2012;F;46944;TOTAL;ES61;ACTIVOS;1818.72111;M
2012;_T;46925;Y15-29;ES61;ACTIVOS;758.875005;M
2012;_T;46925;Y30-44;ES61;ACTIVOS;1584.869865;M
2012;_T;46925;Y45-64;ES61;ACTIVOS;1270.5237525;M
2012;_T;46925;Y65-100;ES61;ACTIVOS;11.9714125;M
2012;_T;46925;TOTAL;ES61;ACTIVOS;3626.240035;M
2012;_T;46943;Y15-29;ES61;ACTIVOS;87.197825;M
2012;_T;46943;Y30-44;ES61;ACTIVOS;222.68224;M
2012;_T;46943;Y45-64;ES61;ACTIVOS;108.597855;M
2012;_T;46943;Y65-100;ES61;ACTIVOS;0.4164675;M
2012;_T;46943;TOTAL;ES61;ACTIVOS;418.8943875;M
2012;_T;46944;Y15-29;ES61;ACTIVOS;846.07283;M
2012;_T;46944;Y30-44;ES61;ACTIVOS;1807.552105;M
2012;_T;46944;Y45-64;ES61;ACTIVOS;1379.1216075;M
2012;_T;46944;Y65-100;ES61;ACTIVOS;12.38788;M
2012;_T;46944;TOTAL;ES61;ACTIVOS;4045.1344225;M
2013;M;46925;Y15-29;ES61;ACTIVOS;386.1980875;M
2013;M;46925;Y30-44;ES61;ACTIVOS;863.674425;M
2013;M;46925;Y45-64;ES61;ACTIVOS;762.7880225;M
2013;M;46925;Y65-100;ES61;ACTIVOS;5.98129;M
2013;M;46925;TOTAL;ES61;ACTIVOS;2018.641825;M
2013;M;46943;Y15-29;ES61;ACTIVOS;38.0733775;M
2013;M;46943;Y30-44;ES61;ACTIVOS;98.830665;M
2013;M;46943;Y45-64;ES61;ACTIVOS;51.38932;M
2013;M;46943;Y65-100;ES61;ACTIVOS;1.2696775;M
2013;M;46943;TOTAL;ES61;ACTIVOS;189.56304;M
2013;M;46944;Y15-29;ES61;ACTIVOS;424.271465;M
2013;M;46944;Y30-44;ES61;ACTIVOS;962.50509;M
2013;M;46944;Y45-64;ES61;ACTIVOS;814.1773425;M
2013;M;46944;Y65-100;ES61;ACTIVOS;7.2509675;M
2013;M;46944;TOTAL;ES61;ACTIVOS;2208.204865;M
2013;F;46925;Y15-29;ES61;ACTIVOS;355.6928775;M
2013;F;46925;Y30-44;ES61;ACTIVOS;717.1911625;M
2013;F;46925;Y45-64;ES61;ACTIVOS;544.6789425;M
2013;F;46925;Y65-100;ES61;ACTIVOS;6.5813325;M
2013;F;46925;TOTAL;ES61;ACTIVOS;1624.144315;M
2013;F;46943;Y15-29;ES61;ACTIVOS;33.72503;M
2013;F;46943;Y30-44;ES61;ACTIVOS;112.1639525;M
2013;F;46943;Y45-64;ES61;ACTIVOS;53.7997425;M
2013;F;46943;TOTAL;ES61;ACTIVOS;199.688725;M
2013;F;46944;Y15-29;ES61;ACTIVOS;389.4179075;M
2013;F;46944;Y30-44;ES61;ACTIVOS;829.355115;M
2013;F;46944;Y45-64;ES61;ACTIVOS;598.478685;M
2013;F;46944;Y65-100;ES61;ACTIVOS;6.5813325;M
2013;F;46944;TOTAL;ES61;ACTIVOS;1823.83304;M
2013;_T;46925;Y15-29;ES61;ACTIVOS;741.890965;M
2013;_T;46925;Y30-44;ES61;ACTIVOS;1580.8655875;M
2013;_T;46925;Y45-64;ES61;ACTIVOS;1307.466965;M
2013;_T;46925;Y65-100;ES61;ACTIVOS;12.5626225;M
2013;_T;46925;TOTAL;ES61;ACTIVOS;3642.78614;M
2013;_T;46943;Y15-29;ES61;ACTIVOS;71.7984075;M
2013;_T;46943;Y30-44;ES61;ACTIVOS;210.9946175;M
2013;_T;46943;Y45-64;ES61;ACTIVOS;105.1890625;M
2013;_T;46943;Y65-100;ES61;ACTIVOS;1.2696775;M
2013;_T;46943;TOTAL;ES61;ACTIVOS;389.251765;M
2013;_T;46944;Y15-29;ES61;ACTIVOS;813.6893725;M
2013;_T;46944;Y30-44;ES61;ACTIVOS;1791.860205;M
2013;_T;46944;Y45-64;ES61;ACTIVOS;1412.6560275;M
2013;_T;46944;Y65-100;ES61;ACTIVOS;13.8323;M
2013;_T;46944;TOTAL;ES61;ACTIVOS;4032.037905;M
