ID;NAME;DESCRIPTION;PARENTCODE;ORDER
2741;(21028) Cumbres de San Bartolomé;Cumbres de San Bartolomé;ES615;506
2742;(21029) Cumbres Mayores;Cumbres Mayores;ES615;507
2744;(21031) Encinasola;Encinasola;ES615;508
2745;(21032) Escacena del Campo;Escacena del Campo;ES615;509
2746;(21033) Fuenteheridos;Fuenteheridos;ES615;510
2747;(21034) Galaroza;Galaroza;ES615;511
2748;(21035) Gibraleón;Gibraleón;ES615;512
2749;(21036) Granada de Río-Tinto (La);Granada de Río-Tinto (La);ES615;513
2750;(21037) Granado (El);Granado (El);ES615;514
2751;(21038) Higuera de la Sierra;Higuera de la Sierra;ES615;515
2752;(21039) Hinojales;Hinojales;ES615;516
2753;(21040) Hinojos;Hinojos;ES615;517
2754;(21041) Huelva (capital);Huelva (capital);ES615;518
